Summary_file = singlecrop_sample.sum
Title = Tracker Sample Single Crop Simulation
       day      year accumulated_rain            lai        max_lai          yield    wheat_yield             ep accumulated_wheat_ep    swdef_photo wheat_weekly_stress
     (day)    (year)              (?)      (m^2/m^2)            (?)        (kg/ha)            (?)           (mm)                  (?)             ()                 (?)
       339      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       340      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       341      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       342      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       343      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       344      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       345      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       346      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       347      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       348      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       349      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       350      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       351      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       352      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       353      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       354      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       355      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       356      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       357      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       358      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       359      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       360      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       361      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       362      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       363      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       364      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       365      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
