Summary_file = orobanche1.sum
Title = orobanchen Sample Simulation
       day      year     faba_stage       faba_lai   faba_biomass     faba_yield       daa     orob_stage   orob_biomass     population population_dead population_alive    attach_area
     (day)    (year)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)        ()             ()        (kg/ha) (parasites/m2)  (parasites/m2)   (parasites/m2)             ()
       275      1988          7.263          4.850      14057.612       3172.991       133          5.468          0.000        176.235           0.000          176.235          1.347
       276      1988          7.277          4.816      14255.444       3365.029       134          5.484          0.000        178.506           0.000          178.506          1.351
       277      1988          7.289          4.710      14382.105       3543.587       135          5.495          0.000        183.245           0.000          183.245          1.359
       278      1988          7.301          4.666      14485.170       3719.336       136          5.507          0.000        184.628           0.000          184.628          1.362
       279      1988          7.311          4.641      14544.013       3885.463       137          5.523          0.000        184.600           0.000          184.600          1.362
       280      1988          7.322          4.617      14626.899       4059.337       138          5.533          0.000        182.917           0.000          182.917          1.359
       281      1988          7.335          4.550      14733.551       4241.616       139          5.545          0.000        181.576           0.000          181.576          1.356
       282      1988          7.350          4.489      14850.402       4429.458       140          5.560          0.000        180.432           0.000          180.432          1.354
       283      1988          7.365          4.469      14966.896       4619.855       141          5.574          0.000        179.107           0.000          179.107          1.352
       284      1988          7.381          4.399      15099.105       4817.450       142          5.591          0.000        177.341           0.000          177.341          1.349
       285      1988          7.397          4.274      15187.794       5003.823       143          5.604          0.000        175.288           0.000          175.288          1.345
       286      1988          7.410          4.152      15247.575       5183.267       144          5.615          0.000        172.332           0.000          172.332          1.340
       287      1988          7.423          4.040      15289.115       5358.555       145          5.630          0.000        168.847           0.000          168.847          1.334
       288      1988          7.436          3.940      15327.141       5534.273       146          5.646          0.000        165.030           0.000          165.030          1.327
       289      1988          7.448          3.856      15362.484       5710.429       147          5.660          0.000        161.210           0.000          161.210          1.321
       290      1988          7.461          3.721      15385.128       5882.887       148          5.672          0.000        157.411           0.000          157.411          1.314
       291      1988          7.476          3.625      15427.094       6064.525       149          5.689          0.000        153.634           0.000          153.634          1.308
       292      1988          7.492          3.486      15458.471       6243.302       150          5.706          0.000        149.870           0.000          149.870          1.301
       293      1988          7.507          3.350      15478.271       6419.090       151          5.718          0.000        146.128           0.000          146.128          1.295
       294      1988          7.519          3.219      15478.163       6587.906       152          5.731          0.000        142.406           0.000          142.406          1.288
       295      1988          7.532          3.094      15472.193       6755.117       153          5.747          0.000        138.707           0.000          138.707          1.282
       296      1988          7.543          3.062      15468.692       6923.482       154          5.761          0.000        135.028           0.000          135.028          1.275
       297      1988          7.560          2.968      15488.158       7009.138       155          5.765          0.000        131.367           0.000          131.367          1.269
       298      1988          7.581          2.913      15554.209       7104.488       156          5.781          0.000        127.719           0.000          127.719          1.262
       299      1988          7.599          2.802      15568.264       7164.488       157          5.793          0.000        124.079           0.000          124.079          1.256
       300      1988          7.618          2.694      15582.963       7215.418       158          5.806          0.000        120.469           0.000          120.469          1.250
       301      1988          7.635          2.585      15586.387       7256.125       159          5.819          0.000        116.877           0.000          116.877          1.243
       302      1988          7.650          2.476      15578.095       7285.948       160          5.834          0.000        113.305           0.000          113.305          1.237
       303      1988          7.664          2.378      15565.852       7310.216       161          5.850          0.000        109.754           0.000          109.754          1.231
       304      1988          7.678          2.295      15554.493       7333.577       162          5.862          0.000        106.221           0.000          106.221          1.225
       305      1988          7.692          2.214      15542.169       7355.657       163          5.872          0.000        102.705           0.000          102.705          1.219
       306      1988          7.709          2.145      15541.836       7385.579       164          5.881          0.000         99.208           0.000           99.208          1.213
       307      1988          7.725          2.063      15536.152       7413.318       165          5.894          0.000         95.725           0.000           95.725          1.207
       308      1988          7.741          1.976      15524.102       7435.642       166          5.909          0.000         92.261           0.000           92.261          1.201
       309      1988          7.757          1.899      15513.253       7457.208       167          5.926          0.000         88.817           0.000           88.817          1.195
       310      1988          7.773          1.823      15501.093       7477.289       168          5.939          0.000         85.389           0.000           85.389          1.189
       311      1988          7.797          1.823      15549.911       7540.170       169          5.952          0.000         81.978           0.000           81.978          1.183
       312      1988          7.819          1.752      15557.346       7583.494       170          5.962          0.000         78.572           0.000           78.572          1.177
       313      1988          7.841          1.678      15560.760       7618.174       171          5.972          0.000         75.192           0.000           75.192          1.171
       314      1988          7.860          1.603      15552.294       7641.792       172          5.983          0.000         71.830           0.000           71.830          1.165
       315      1988          7.880          1.534      15544.163       7662.438       173          5.996          0.000         68.487           0.000           68.487          1.159
       316      1988          7.900          1.471      15538.676       7683.903       174          6.000          0.000         65.161           0.000           65.161          1.153
       317      1988          7.921          1.410      15534.589       7706.268       175          6.000          0.000         61.852           0.000           61.852          1.147
       318      1988          7.943          1.349      15529.994       7728.167       176          6.000          0.000         58.558           0.000           58.558          1.142
       319      1988          7.963          1.289      15520.041       7745.780       177          6.000          0.000         55.282           0.000           55.282          1.136
       320      1988          7.982          1.234      15510.832       7762.380       178          6.000          0.000         52.023           0.000           52.023          1.130
       321      1988          8.000          1.221      15580.787       7802.809       179          6.000          0.000         48.780           0.000           48.780          1.125
       322      1988          9.000          1.177      15603.536       7802.809       180          6.000          0.000         54.618           0.000           54.618          1.135
       323      1988         10.000          0.000      15581.408       7802.809       181          6.000          0.000         53.510           0.000           53.510          1.133
       324      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       325      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       326      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       327      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       328      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       329      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       330      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       331      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       332      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       333      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       334      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       335      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       336      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       337      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       338      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       339      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       340      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       341      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       342      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       343      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       344      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       345      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       346      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       347      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       348      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       349      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       350      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       351      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       352      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       353      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       354      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       355      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       356      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       357      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       358      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       359      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       360      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
       361      1988         12.000          0.000          0.000          0.000         0          0.000          0.000          0.000           0.000            0.000          0.000
