Summary_file = output\xifeng_w.sum
Title = Continuous winter wheat at Xifeng
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)      residue_n     residue_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()            (?)             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
        60      1964     29/02/1964          0.000          0.000          2.500          0.000              0.265              0.268              0.270              0.270              0.270              0.270              0.270              0.280              0.280          1.920          0.000          1.412        819.249          1.166        203.590              1.737              4.164              7.708             40.231             43.801             35.252             35.096             21.324             14.278          0.004      13758.623        234.380         69.484          0.086          8.071          0.002          0.000       1464.055         68.622        600.760          6.485         0          1.000          1.000          4.514
        91      1964     31/03/1964          0.000          0.000         30.400          0.143              0.239              0.249              0.263              0.270              0.270              0.270              0.270              0.280              0.281         27.915          0.000         10.110        811.481         92.215        211.626             10.561              3.765              7.386             36.212             43.054             36.269             36.993             22.527             14.858          0.041      13756.479        235.946         73.455          0.074          6.967          0.020          0.000       1475.247         59.377        769.900          6.487         0          1.000          1.000         72.565
       121      1964     30/04/1964          0.000          0.000        101.800          3.621              0.264              0.268              0.273              0.274              0.274              0.275              0.273              0.283              0.283         32.289          2.685         46.033        828.653         18.851        279.497             26.967             32.545             24.386             27.900             37.366             38.278             45.155             28.756             18.143          0.588      13749.831        239.395         64.866          0.042          3.951          0.439          0.000       1888.650         63.560       1149.880          6.528         0          1.000          1.000         90.752
       152      1964     31/05/1964          0.000          0.000         98.800         19.140              0.260              0.264              0.270              0.271              0.273              0.274              0.274              0.284              0.285         34.581          1.041         46.209        826.482          1.479        281.562              8.414             27.105             37.824             31.867             33.827             35.932             49.636             34.795             22.163          0.652      13739.969        241.639         56.317          0.016          1.521          0.594          0.000       3689.696         94.256       1638.220          7.333         0          1.000          1.000        120.237
       182      1964     30/06/1964          0.000          0.000         34.700         41.147              0.234              0.239              0.232              0.239              0.250              0.258              0.266              0.278              0.280         34.965          0.000          8.066        777.003          0.879        238.429             10.800             22.824             30.918             26.015             26.198             27.261             40.115             32.013             22.286          0.011      13718.721        240.938         38.769          0.007          0.639          0.594       2020.204       6265.480         86.248       2284.660         12.081         0          1.000          1.000        183.910
       198      1964     16/07/1964          2.000          2.000         34.200          9.442              0.234              0.244              0.245              0.238              0.246              0.255              0.264              0.275              0.280         24.569          0.000          0.000        777.192          0.961        234.170              9.676             22.327             33.047             25.899             25.238             26.071             38.660             30.957             22.295          0.010      13707.611        239.035         33.511          0.002          0.201          0.002       3161.818       6907.408         80.001       2581.120         12.850       196          0.867          1.000         72.358
       213      1964     31/07/1964          0.000          0.000        107.500          0.000              0.252              0.256              0.267              0.270              0.270              0.271              0.271              0.282              0.282         33.079         13.367         20.541        817.706          1.313        234.522              4.547             13.117             30.581             30.911             28.952             28.071             40.979             33.397             23.966          0.409      13699.694        258.308         64.761          1.460         87.533          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         77.289
       244      1964     31/08/1964          0.000          1.000        110.100          0.000              0.252              0.256              0.266              0.270              0.270              0.270              0.270              0.281              0.281         59.088         19.996         33.098        815.624          1.383        240.606              6.299             12.917             28.793             30.848             29.728             28.527             42.191             35.277             26.025          0.332      13675.238        262.760         33.364          0.428         25.658          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        179.275
       264      1964     20/09/1964          0.000          3.000        151.000          0.000              0.258              0.262              0.269              0.271              0.272              0.274              0.274              0.285              0.286         39.574         29.003         71.631        826.416          1.491        229.613              2.091              6.536             19.835             26.244             28.993             29.441             45.282             39.964             31.227          0.667      13667.276        261.913         28.191          0.165          9.919          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         51.386
       274      1964     30/09/1964          0.000          0.000         27.200          0.000              0.247              0.254              0.267              0.270              0.271              0.271              0.271              0.281              0.281         16.829          1.641         19.464        815.681         16.354        241.877             15.334              7.950             18.763             25.260             28.379             29.031             45.168             40.198             31.794          0.103      13664.639        261.133         27.126          0.115          6.902          0.000          0.000          0.000          0.000        119.920          0.000         0          0.000          0.818         17.090
       305      1964     31/10/1964          0.000          0.000         87.200          1.999              0.267              0.270              0.273              0.273              0.274              0.274              0.273              0.283              0.283         35.346          2.423         35.299        827.814          3.924        226.186              4.024              8.295             13.491             22.433             26.958             28.797             46.121             42.034             34.034          0.305      13658.479        259.097         28.513          0.064          3.841          0.614          0.000        352.082         31.913        459.080          1.865         0          1.000          1.000         51.108
       335      1964     30/11/1964          0.000          0.000          5.600          2.333              0.244              0.245              0.251              0.262              0.270              0.270              0.270              0.280              0.280         18.805          0.000          8.173        804.103          3.004        210.941              2.858              3.855              6.158             21.534             26.518             28.336             45.740             41.854             34.088          0.021      13656.800        258.621         35.165          0.061          3.684          1.148          0.000        693.054         52.185        582.680          3.063         0          1.000          1.000         33.875
       366      1964     31/12/1964          0.000          0.000          4.700          0.000              0.233              0.240              0.251              0.261              0.268              0.270              0.270              0.280              0.280          7.491          0.000          0.000        801.312          2.936        211.162              3.014              3.876              6.389             21.461             26.364             28.348             45.751             41.862             34.096          0.000      13656.655        258.648         43.967          0.056          3.336          0.002          0.000        693.080         44.677        586.700          3.063         0          1.000          1.000         12.638
        31      1965     31/01/1965          0.000          0.000          1.500          0.000              0.221              0.230              0.243              0.255              0.263              0.270              0.270              0.280              0.280         10.471          0.000          0.000        792.341          2.890        211.317              3.677              3.780              6.780             21.069             25.940             28.342             45.759             41.868             34.103          0.000      13656.573        258.661         51.515          0.054          3.253          0.002          0.000        693.112         38.249        590.600          3.063         0          1.000          1.000         20.896
        59      1965     28/02/1965          0.000          0.000          4.000          0.002              0.218              0.228              0.240              0.251              0.260              0.267              0.270              0.280              0.280          8.291          0.000          0.000        788.049          2.729        211.599              4.096              3.939              7.204             20.857             25.668             28.096             45.763             41.871             34.106          0.000      13656.255        258.702         56.847          0.054          3.245          0.002          0.000        693.351         33.256        608.900          3.063         0          1.000          1.000         27.292
        90      1965     31/03/1965          0.000          0.000         19.700          0.057              0.241              0.245              0.250              0.252              0.258              0.265              0.270              0.280              0.280         11.933          0.000          0.000        795.759        100.596        214.322              5.237              5.098              7.955             20.935             25.510             27.835             45.768             41.874             34.109          0.000      13654.287        259.077         58.170          0.052          3.114          0.010          0.000        698.377         28.745        734.420          3.063         0          1.000          1.000         71.831
       120      1965     30/04/1965          0.000          0.000         63.100          5.097              0.255              0.259              0.269              0.270              0.271              0.271              0.271              0.281              0.281         30.948          1.287          4.042        817.484         19.165        296.346             46.099             34.131             17.809             21.292             26.119             28.306             45.944             42.186             34.460          0.263      13647.048        259.546         49.699          0.038          2.252          0.459          0.000       1138.607         37.919       1086.980          3.103         0          1.000          1.000        114.819
       151      1965     31/05/1965          0.000          0.000         30.000         43.052              0.237              0.226              0.223              0.234              0.249              0.259              0.269              0.280              0.280         29.911          0.000          1.576        772.945          1.237        285.421             37.233             39.154             18.034             20.175             23.578             25.763             44.960             42.097             34.426          0.002      13630.142        256.629         37.191          0.022          1.307          0.693          0.000       3885.223         87.703       1657.460          5.538         0          1.000          1.000        171.828
       181      1965     30/06/1965          0.000          0.000         37.900         53.635              0.185              0.186              0.202              0.210              0.229              0.244              0.257              0.273              0.280         31.578          0.000          0.000        725.631          0.937        242.772             23.859             29.202             22.613             18.949             19.994             20.881             35.798             37.041             34.435          0.074      13609.938        250.733         29.335          0.011          0.667          0.518       2529.576       6963.882         77.798       2335.820         10.636         0          1.000          1.000        199.581
       194      1965     13/07/1965          2.000          2.000         80.100          6.842              0.277              0.284              0.273              0.235              0.228              0.242              0.255              0.269              0.280         18.731          0.311          0.000        779.847          1.113        236.675              6.370             28.200             36.449             22.357             19.496             20.080             34.316             35.115             34.292          0.154      13601.376        247.956         26.909          0.004          0.242          0.002       3422.383       7394.315         73.256       2550.140         11.560       192          0.833          1.000         58.087
       212      1965     31/07/1965          0.000          0.000         37.500          0.000              0.241              0.247              0.258              0.261              0.253              0.249              0.256              0.268              0.279         34.860          1.361          0.000        781.126          1.302        243.550             11.224             22.605             35.993             27.141             22.296             20.724             34.398             34.983             34.186          0.070      13587.900        265.214         42.331          0.977         82.838          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        109.671
       243      1965     31/08/1965          0.000          1.000         98.400          0.000              0.269              0.269              0.266              0.268              0.269              0.270              0.270              0.274              0.280         56.842          8.361          0.000        814.323          1.411        256.632             10.864             22.380             37.821             30.511             25.396             23.039             36.462             35.806             34.353          0.191      13562.203        261.791         23.907          0.437         37.029          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        172.248
       264      1965     21/09/1965          0.000          3.000         13.700          0.000              0.239              0.246              0.258              0.267              0.270              0.270              0.270              0.278              0.280         20.888          0.439          0.000        806.697          1.479        263.005             15.703             22.086             37.766             31.014             25.823             23.231             36.565             36.453             34.365          0.030      13550.295        257.425         19.537          0.332         28.149          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         91.709
