Summary_file = output\dingxi_w.sum
Title = Continuous spring wheat at Dingxi
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()             ()             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       305      1972     31/10/1972          0.000          0.000         11.700          0.000              0.126              0.169              0.173              0.132              0.129              0.150              0.167              0.177         15.811          0.000          0.000        307.831          1.203        141.617             21.797             30.397             29.776             24.879             12.906              8.124              6.862              6.875          0.000       9423.026        322.659         58.311          1.561        116.158          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         68.398
       335      1972     30/11/1972          0.000          0.000          6.300          0.000              0.114              0.160              0.166              0.136              0.131              0.151              0.166              0.176          9.505          0.000          0.000        304.626          1.040        142.946             23.842             29.252             28.807             25.995             13.125              8.170              6.878              6.878          0.000       9422.717        322.325         57.617          1.561        116.155          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         35.370
       366      1972     31/12/1972          0.000          0.000          0.900          0.000              0.084              0.150              0.160              0.138              0.133              0.151              0.166              0.175          6.019          0.000          0.000        299.507          1.024        143.216             25.746             27.594             27.831             26.733             13.360              8.196              6.881              6.874          0.000       9422.709        322.318         57.599          1.561        116.137          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         13.205
        31      1973     31/01/1973          0.000          0.000          4.100          0.000              0.071              0.142              0.155              0.140              0.135              0.151              0.165              0.175          7.275          0.000          0.000        296.332          1.024        143.310             27.525             26.062             26.981             27.196             13.592              8.210              6.877              6.866          0.000       9422.709        322.318         57.599          1.561        116.137          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         13.132
        59      1973     28/02/1973          0.000          1.000          0.000          0.000              0.044              0.135              0.152              0.140              0.136              0.152              0.165              0.174          4.554          0.000          0.000        291.778          0.973        143.493             29.186             24.726             26.353             27.472             13.797              8.224              6.874              6.861          0.000       9422.709        322.318         57.599          1.561        116.137          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         36.266
        90      1973     31/03/1973          0.000          0.000         10.000          0.000              0.041              0.128              0.148              0.141              0.138              0.152              0.164              0.173         11.977          0.000          0.000        289.801         30.795        143.843             30.723             23.694             25.789             27.671             14.008              8.236              6.869              6.852          0.000       9422.733        322.545         62.184          1.385        103.099          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         72.164
       120      1973     30/04/1973          0.000          0.000         44.900          0.350              0.223              0.172              0.146              0.141              0.139              0.152              0.164              0.173         17.811          0.000          0.000        316.540        125.932        168.023             43.465             35.020             25.534             27.838             14.201              8.254              6.867              6.845          0.000       9421.999        324.103         60.860          1.150         85.568          0.058          0.000         50.919          6.128        172.504          0.204         0          1.000          0.591        131.668
       151      1973     31/05/1973          0.000          0.000         52.900         25.809              0.120              0.143              0.141              0.141              0.141              0.152              0.164              0.172         43.847          0.000          0.000        299.785          9.183        234.427             86.406             55.731             27.932             28.000             14.386              8.273              6.864              6.836          0.000       9417.403        325.377         55.008          0.491         36.549          1.492          0.000       1845.922         60.545        544.475          4.364         0          1.000          0.914        136.629
       181      1973     30/06/1973          0.000          0.000         61.300         17.555              0.249              0.142              0.130              0.122              0.138              0.153              0.163              0.171         39.981          0.000          0.000        303.549          2.396        239.633             76.621             71.215             27.901             27.719             14.188              8.293              6.865              6.832          0.000       9416.093        327.274         63.304          0.164         12.221          0.379          0.000       2827.472         69.812        967.035          4.429         0          1.000          0.555        144.440
       212      1973     31/07/1973          0.000          0.000         55.400         24.643              0.215              0.134              0.131              0.115              0.125              0.146              0.163              0.171         44.049          0.000          0.000        290.257          0.584        212.410             43.885             75.773             29.210             27.640             14.008              8.193              6.867              6.834          0.000       9410.506        323.051         59.648          0.056          4.145          0.313       1731.306       4073.278         59.902       1418.294          7.662         0          1.000          0.940        174.251
       217      1973     05/08/1973          2.000          0.000          0.000          1.813              0.122              0.133              0.130              0.115              0.124              0.145              0.163              0.171          8.299          0.000          0.000        280.145          0.509        210.630             42.052             75.804             29.221             27.662             14.008              8.191              6.859              6.834          0.000       9409.650        322.358         58.691          0.046          3.391          0.002       1731.306       4140.742         58.713       1426.527          7.883       215          1.000          1.000         27.231
       243      1973     31/08/1973          0.000          0.000        160.700          0.000              0.270              0.275              0.273              0.154              0.125              0.145              0.162              0.170         54.682         22.359          0.000        363.803          1.383        213.726             10.887             57.689             66.689             42.392             14.131              8.239              6.855              6.844          0.191       9407.288        337.588         97.327          0.599         38.735          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        134.349
       273      1973     30/09/1973          0.000          0.000         42.100          0.000              0.213              0.222              0.223              0.210              0.141              0.146              0.161              0.170         45.873          1.353          0.000        358.678          1.874        221.240             21.118             42.406             52.884             63.853             18.898              8.327              6.881              6.874          0.027       9401.163        335.662         68.725          0.382         24.678          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         99.607
