APSIM output file, version = 5.4
Title = soybean P Sample Simulation
            day           year            lai        biomass  green_biomass       dm_green        p_green     p_senesced       p_demand    pfact_photo    pfact_pheno pfact_expansion    pfact_grain      biomass_p green_biomass_p        grain_p         leaf_p         stem_p         root_p          pod_p         head_p    dlt_p_green dlt_p_retrans() dlt_p_detached    dlt_p_sen()  p_conc_stover LeafGreenpconc StemGreenpconc grainGreenpconc p_uptake_stover grain_p_demand    surfaceom_p
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)         (g/m2)         (g/m2)         (g/m2)        (g/m^2)             ()             ()              ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)            (?)            (%)            (%)            (%)             (%)             (%)        (g/m^2)        (kg/ha)
             10           1989          1.614          865.0          865.0        171.092          0.313          0.000           0.15          0.333          1.000           0.666          1.000           0.22            0.22           0.00           0.12           0.11           0.09           0.00           0.00           0.01            0.00           0.00              ?          0.259          0.279          0.241           0.000           0.224           0.00            0.0
             11           1989          1.669          899.9          899.9        177.632          0.324          0.000           0.16          0.306          1.000           0.612          1.000           0.23            0.23           0.00           0.12           0.11           0.09           0.00           0.00           0.01            0.00           0.00              ?          0.259          0.278          0.241           0.000           0.233           0.00            0.0
             12           1989          1.733          940.1          940.1        185.225          0.335          0.000           0.17          0.302          1.000           0.604          1.000           0.24            0.24           0.00           0.13           0.12           0.09           0.00           0.00           0.01            0.00           0.00              ?          0.256          0.275          0.238           0.000           0.241           0.00            0.0
             13           1989          1.795          979.4          979.4        189.988          0.346          0.000           0.18          0.289          1.000           0.578          1.000           0.25            0.25           0.00           0.13           0.12           0.10           0.00           0.00           0.01            0.00           0.00              ?          0.254          0.273          0.237           0.000           0.249           0.00            0.0
             14           1989          1.848         1013.5         1013.5        194.055          0.356          0.000           0.17          0.278          1.000           0.557          1.000           0.26            0.26           0.00           0.13           0.12           0.10           0.00           0.00           0.01            0.00           0.00              ?          0.254          0.273          0.236           0.000           0.257           0.00            0.0
             15           1989          1.886         1050.7         1050.7        198.526          0.367          0.001           0.18          0.295          1.000           0.589          1.000           0.27            0.27           0.00           0.14           0.13           0.10           0.00           0.00           0.01            0.00           0.00              ?          0.253          0.275          0.238           0.000           0.266           0.00            0.0
             16           1989          1.926         1090.4         1090.2        203.316          0.377          0.001           0.18          0.318          1.000           0.637          1.000           0.27            0.27           0.00           0.14           0.13           0.10           0.00           0.00           0.01            0.00           0.00              ?          0.251          0.276          0.238           0.000           0.273           0.00            0.0
             17           1989          1.971         1135.2         1134.6        208.758          0.386          0.001           0.18          0.331          1.000           0.663          1.000           0.28            0.28           0.00           0.15           0.14           0.10           0.00           0.00           0.01            0.00           0.00              ?          0.248          0.276          0.237           0.000           0.281           0.00            0.0
             18           1989          2.020         1184.2         1183.4        214.772          0.395          0.001           0.19          0.337          1.000           0.673          1.000           0.29            0.29           0.00           0.15           0.14           0.11           0.00           0.00           0.01            0.00           0.00              ?          0.244          0.274          0.236           0.000           0.289           0.00            0.0
             19           1989          2.071         1235.7         1234.7        221.104          0.404          0.001           0.20          0.336          1.000           0.673          1.000           0.30            0.30           0.00           0.15           0.14           0.11           0.00           0.00           0.01            0.00           0.00              ?          0.240          0.273          0.233           0.000           0.296           0.00            0.0
             20           1989          2.110         1278.8         1276.3        226.194          0.413          0.001           0.20          0.333          1.000           0.665          1.000           0.30            0.30           0.00           0.16           0.15           0.11           0.00           0.00           0.01            0.00           0.00              ?          0.238          0.273          0.233           0.000           0.304           0.00            0.0
             21           1989          2.147         1329.9         1323.4        232.090          0.421          0.002           0.21          0.339          1.000           0.678          1.000           0.31            0.31           0.00           0.16           0.15           0.11           0.00           0.00           0.01            0.00           0.00              ?          0.235          0.271          0.231           0.000           0.310           0.00            0.0
             22           1989          2.167         1367.0         1355.9        236.056          0.429          0.002           0.21          0.336          1.000           0.673          1.000           0.32            0.32           0.00           0.16           0.15           0.11           0.00           0.00           0.01            0.00           0.00              ?          0.234          0.272          0.230           0.000           0.317           0.00            0.0
             23           1989          2.183         1400.3         1384.3        239.494          0.436          0.003           0.21          0.346          1.000           0.692          1.000           0.33            0.32           0.00           0.16           0.15           0.11           0.00           0.00           0.01            0.00           0.00              ?          0.233          0.273          0.231           0.000           0.323           0.00            0.0
             24           1989          2.200         1433.8         1413.0        242.959          0.444          0.004           0.21          0.360          1.000           0.719          1.000           0.33            0.33           0.00           0.17           0.16           0.11           0.01           0.01           0.01            0.00           0.00              ?          0.233          0.274          0.231           0.000           0.329           0.00            0.0
             25           1989          2.220         1485.7         1456.0        248.447          0.450          0.005           0.21          0.370          1.000           0.740          1.000           0.34            0.33           0.00           0.17           0.16           0.12           0.01           0.01           0.01            0.00           0.00              ?          0.230          0.273          0.228           0.000           0.334           0.00            0.0
             26           1989          2.246         1543.9         1505.1        254.755          0.456          0.007           0.22          0.365          1.000           0.730          1.000           0.35            0.34           0.00           0.17           0.16           0.12           0.01           0.01           0.01            0.00           0.00              ?          0.226          0.271          0.225           0.000           0.339           0.00            0.0
             27           1989          2.260         1588.9         1541.4        259.339          0.462          0.008           0.23          0.355          1.000           0.709          1.000           0.35            0.34           0.00           0.17           0.17           0.12           0.01           0.01           0.01            0.00           0.00              ?          0.224          0.270          0.224           0.000           0.345           0.00            0.0
             28           1989          2.280         1642.0         1585.0        264.924          0.468          0.010           0.23          0.354          1.000           0.708          1.000           0.36            0.35           0.00           0.17           0.17           0.12           0.01           0.01           0.01            0.00           0.00              ?          0.220          0.269          0.221           0.000           0.349           0.00            0.0
             29           1989          2.300         1695.1         1628.6        270.489          0.473          0.011           0.24          0.347          1.000           0.695          1.000           0.36            0.35           0.00           0.17           0.17           0.12           0.01           0.01           0.01            0.00           0.00              ?          0.217          0.267          0.219           0.000           0.354           0.00            0.0
             30           1989          2.311         1751.7         1672.2        276.174          0.478          0.013           0.25          0.340          1.000           0.680          1.000           0.37            0.36           0.00           0.17           0.17           0.12           0.01           0.01           0.01            0.00           0.00              ?          0.214          0.265          0.216           0.000           0.358           0.00            0.0
             31           1989          2.324         1808.3         1716.5        281.919          0.482          0.015           0.26          0.333          1.000           0.666          1.000           0.38            0.36           0.00           0.17           0.18           0.12           0.01           0.01           0.01            0.00           0.00              ?          0.211          0.263          0.213           0.000           0.362           0.00            0.0
             32           1989          2.320         1858.6         1751.3        286.496          0.486          0.018           0.26          0.324          1.000           0.649          1.000           0.38            0.36           0.00           0.17           0.18           0.12           0.02           0.02           0.01            0.00           0.00              ?          0.208          0.262          0.211           0.000           0.365           0.00            0.0
             33           1989          2.305         1896.1         1774.0        289.439          0.490          0.020           0.26          0.323          1.000           0.646          1.000           0.39            0.37           0.00           0.17           0.18           0.12           0.02           0.02           0.01            0.00           0.00              ?          0.207          0.263          0.210           0.000           0.368           0.00            0.0
             34           1989          2.276         1931.3         1790.7        291.710          0.493          0.023           0.26          0.329          1.000           0.659          1.000           0.39            0.37           0.00           0.17           0.18           0.12           0.02           0.02           0.01            0.00           0.00              ?          0.207          0.264          0.210           0.000           0.371           0.00            0.0
