APSIM output file, version = 5.3
Title = p60N100
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1982             92     02/04/1982        781.000              67.006            214.933         46.275          2.968          2.152          2.189          1.321          1.324          1.277          1.177          1.102          1.068          0.000          0.449          4.435          0.961          4.566        292.278        160.871       1423.403         339.378          0.153          0.217          0.226          0.230          0.236          0.243          0.268          0.286          0.296          0.299        431.255         47.943          1.619          1.619                 0.348                 0.310                 1.000             35       5521.884      13508.481          1.676         12.157       1700.000        171.286          2.873          0.315          0.161          0.137          0.112          0.094          0.105          0.075          0.106          0.458        249.535         19.003              ?              ?              ?
           1983             99     09/04/1983        492.900               7.104             96.487         48.833          3.044          2.198          2.263          1.322          1.289          1.259          1.182          1.106          1.071          0.000          0.360          6.473          1.078          5.213        339.611        169.075       1427.562         321.108          0.109          0.200          0.202          0.202          0.201          0.204          0.240          0.268          0.287          0.296        391.109         12.173          9.467          9.467                 0.292                 0.325                 0.973             45       4492.653       9900.341          1.157         11.931       1700.000        110.297          3.467          0.557          0.329          0.514          0.404          0.160          0.186          0.167          0.194          0.495        255.414          8.498              ?              ?              ?
           1984            111     20/04/1984        627.200              17.367            122.839         43.271          2.821          2.048          2.075          1.231          1.238          1.223          1.184          1.096          1.071          0.000          0.182          4.046          1.279          3.300        175.598        151.655       1430.363         336.531          0.161          0.230          0.239          0.244          0.246          0.234          0.251          0.275          0.290          0.298        430.341         46.280          0.143          0.143                 0.355                 0.344                 0.982             53       6033.860      13867.681          2.073         14.297       1700.000        158.198          2.507          0.303          0.150          0.138          0.105          0.092          0.135          0.111          0.097          0.406        261.392         14.063              ?              ?              ?
           1985             95     05/04/1985       1049.100              60.279            461.220         38.435          2.853          2.114          2.190          1.312          1.284          1.225          1.142          1.094          1.071          0.000          0.215          4.298          1.055          4.364        251.662        152.259       1433.621         382.231          0.198          0.263          0.272          0.278          0.282          0.287          0.295          0.299          0.300          0.300        481.123         93.310          0.194          0.194                 0.374                 0.312                 1.000             38       5713.769      13320.380          2.345         11.172       1700.000        178.368          3.006          0.284          0.134          0.132          0.093          0.066          0.069          0.045          0.079          0.389        265.799         38.144              ?              ?              ?
           1986            107     17/04/1986        931.300              59.537            392.168         43.132          3.056          2.173          2.214          1.316          1.293          1.236          1.139          1.110          1.070          0.000          0.420          5.316          0.994          4.829        299.122        150.569       1436.567         382.669          0.171          0.238          0.248          0.254          0.259          0.263          0.268          0.281          0.293          0.299        449.203         64.097          0.414          0.414                 0.355                 0.309                 1.000             49       5499.037      12454.488          1.994         10.938       1700.000        159.935          2.882          0.314          0.145          0.125          0.093          0.074          0.104          0.107          0.209          1.262        270.108         48.290              ?              ?              ?
           1987             95     05/04/1987        650.000              29.451            207.852         46.970          2.998          2.137          2.217          1.285          1.257          1.220          1.162          1.104          1.064          0.000          0.390          4.996          1.121          5.470        347.151        160.207       1439.739         295.066          0.187          0.244          0.246          0.230          0.205          0.209          0.246          0.273          0.290          0.297        417.773         31.081          3.115          3.115                 0.344                 0.345                 0.945             42       4501.652      10647.043          1.415         10.823       1700.000        142.260          2.653          0.461          0.250          0.319          0.198          0.111          0.134          0.123          0.176          0.571        274.737         19.915              ?              ?              ?
           1988             95     04/04/1988        914.300             104.779            399.797         43.620          2.920          2.141          2.192          1.237          1.233          1.211          1.170          1.104          1.067          0.000          0.182          4.219          1.125          3.404        179.514        144.900       1442.314         277.024          0.209          0.242          0.252          0.258          0.265          0.273          0.288          0.296          0.299          0.300        466.144         78.144          0.147          0.147                 0.342                 0.325                 0.999             39       5235.178      13404.155          2.020         13.125       1700.000        169.421          2.826          0.291          0.146          0.134          0.104          0.074          0.073          0.066          0.097          0.407        279.947         45.979              ?              ?              ?
           1989            103     13/04/1989        831.300              43.058            322.424         44.037          2.972          2.153          2.217          1.311          1.293          1.236          1.162          1.090          1.061          0.000          0.279          3.933          1.148          4.557        257.768        155.058       1445.773         358.770          0.172          0.240          0.244          0.227          0.227          0.239          0.268          0.286          0.296          0.299        434.158         48.929          0.553          0.553                 0.361                 0.331                 0.997             43       5133.310      12156.826          1.805         11.521       1700.000        138.621          2.648          0.285          0.134          0.131          0.108          0.086          0.087          0.068          0.078          0.309        284.271         25.052              ?              ?              ?
           1990             84     25/03/1990        799.000              64.538            371.875         47.389          2.929          2.131          2.169          1.267          1.255          1.202          1.146          1.077          1.056          0.000          0.284          4.209          1.000          5.436        328.331        160.352       1448.780         266.117          0.138          0.215          0.227          0.233          0.241          0.251          0.274          0.289          0.297          0.299        434.775         52.951          2.904          2.904                 0.374                 0.328                 0.996             28       4914.651      12228.433          1.416         10.664       1700.000        160.452          2.833          0.308          0.158          0.152          0.104          0.070          0.069          0.065          0.077          0.373        287.948         30.682              ?              ?              ?
           1991             84     25/03/1991        824.900              49.585            218.692         43.536          3.000          2.137          2.200          1.287          1.253          1.194          1.129          1.075          1.055          0.000          0.174          4.729          1.368          3.206        198.410        151.114       1452.553         359.682          0.275          0.292          0.292          0.279          0.254          0.247          0.271          0.288          0.297          0.299        473.105         85.105          0.668          0.668                 0.340                 0.319                 1.000             31       5158.368      12986.915          2.070         12.891       1700.000        164.641          2.738          0.639          0.241          0.173          0.115          0.082          0.075          0.062          0.107          0.498        292.650         20.780              ?              ?              ?
