Summary_file = g2_00_w0.sum
Title = Ghab2_W0_9900
      year       day       DAS tt_since_emerg          stage            lai     biomass_wt       grain_wt        leaf_wt        stem_wt      biomass_n        grain_n         leaf_n         stem_n            cep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)    n_conc_leaf    n_conc_stem   n_conc_grain
    (year)     (day)    (days)             ()             ()      (m^2/m^2)         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)            (%)            (%)            (%)
      2000        25        35          0.000          2.849          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.326              0.295              0.234              0.197              0.237              0.261              0.275              0.289              0.297              0.302              3.131              6.178              5.492              5.470              5.388              5.550              2.473              3.354              2.758              0.516              0.039              0.024          0.000          0.000          0.000
      2000        26        36          0.000          2.917          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.305              0.285              0.253              0.199              0.237              0.261              0.275              0.289              0.297              0.301              3.113              5.967              5.999              5.538              5.390              5.549              2.400              3.251              2.645              0.489              0.037              0.023          0.000          0.000          0.000
      2000        27        37          0.000          2.949          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.299              0.282              0.267              0.201              0.237              0.261              0.275              0.289              0.297              0.301              3.063              5.869              6.400              5.627              5.392              5.549              2.328              3.148              2.536              0.463              0.035              0.021          0.000          0.000          0.000
      2000        28        38          0.000          2.986          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.285              0.279              0.273              0.204              0.237              0.261              0.275              0.289              0.297              0.301              3.101              5.884              6.613              5.725              5.395              5.548              2.252              3.044              2.427              0.438              0.033              0.020          0.000          0.000          0.000
      2000        29        39          6.065          3.000          0.005         10.000          0.000         10.000          0.000          0.600          0.000          0.600          0.000         -0.000              0.275              0.275              0.272              0.207              0.237              0.261              0.275              0.289              0.297              0.301              3.210              5.942              6.718              5.823              5.397              5.547              2.178              2.942              2.321              0.414              0.031              0.018          6.000          0.000          0.000
      2000        30        40         12.162          3.015          0.005         10.009          0.000         10.004          0.005          0.600          0.000          0.600          0.000         -0.002              0.266              0.271              0.270              0.210              0.237              0.261              0.275              0.289              0.296              0.301              3.388              5.977              6.777              5.915              5.400              5.546              2.107              2.844              2.220              0.391              0.029              0.017          5.998          0.000          0.000
      2000        31        41         18.762          3.024          0.005         10.020          0.000         10.008          0.012          0.600          0.000          0.600          0.000         -0.004              0.256              0.266              0.267              0.213              0.237              0.261              0.275              0.288              0.296              0.301              3.582              6.008              6.817              6.001              5.402              5.545              2.038              2.750              2.124              0.370              0.028              0.016          5.995          3.114          0.000
      2000        32        42         26.762          3.035          0.006         10.029          0.000         10.011          0.017          0.601          0.000          0.600          0.001         -0.005              0.252              0.263              0.265              0.215              0.237              0.261              0.275              0.288              0.296              0.301              3.772              6.072              6.868              6.083              5.405              5.544              1.961              2.647              2.021              0.348              0.026              0.015          5.993          4.152          0.000
      2000        33        43         33.283          3.045          0.006         10.041          0.000         10.016          0.025          0.601          0.000          0.600          0.001         -0.008              0.242              0.259              0.262              0.218              0.238              0.261              0.275              0.288              0.296              0.301              3.988              6.139              6.925              6.161              5.409              5.543              1.875              2.535              1.912              0.326              0.024              0.013          5.990          4.532          0.000
      2000        34        44         39.697          3.054          0.006         10.054          0.000         10.021          0.032          0.602          0.000          0.600          0.002         -0.011              0.239              0.256              0.259              0.220              0.238              0.260              0.275              0.288              0.296              0.301              4.188              6.221              6.983              6.233              5.412              5.542              1.789              2.427              1.806              0.304              0.023              0.012          5.987          4.780          0.000
