Summary_file = fieldpea.sum
Title = fieldpea sample
       day      year           date       sw_dep()         runoff          drain             es            eos             eo           rain     residue_wt  residue_cover      residue_n       das          stage            lai        biomass  green_biomass          yield             ep    swdef_photo    nfact_photo     root_depth        node_no        leaf_wt        stem_wt flowering_date maturity_date        leaf_no            esw
     (day)    (year)             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)      (m^2/m^2)        (kg/ha)    (days)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)             ()             ()           (mm)     (nodes/m2)        (g/m^2)        (g/m^2)          (doy)         (doy)    (leaves/m2)           (mm)
       198      2002    17/Jul/2002        423.805          0.000          0.000          1.397          1.397          1.910          2.200          0.000          0.000          0.000        62          4.182          0.389        382.257        382.257          0.000          0.165          1.000          1.000        576.912         10.300         21.290         16.935              0             0         17.707        131.805
       199      2002    18/Jul/2002        422.804          0.000          0.000          1.673          1.673          2.321          1.000          0.000          0.000          0.000        63          4.204          0.413        402.329        402.329          0.000          0.328          1.000          1.000        586.985         10.521         22.093         18.140              0             0         18.039        130.804
       200      2002    19/Jul/2002        421.732          0.000          0.000          0.941          0.941          1.329          0.000          0.000          0.000          0.000        64          4.224          0.427        414.320        414.320          0.000          0.130          1.000          1.000        596.760         10.733         22.573         18.859              0             0         18.357        129.732
       201      2002    20/Jul/2002        420.188          0.000          0.000          1.296          1.762          2.515          0.000          0.000          0.000          0.000        65          4.247          0.457        439.072        439.072          0.000          0.247          1.000          1.000        607.300         10.968         23.563         20.344              0             0         18.710        128.188
       202      2002    21/Jul/2002        418.889          0.000          0.000          0.977          1.487          2.169          0.000          0.000          0.000          0.000        66          4.262          0.478        456.280        456.280          0.000          0.322          1.000          1.000        613.284         11.120         24.251         21.377              0             0         18.937        126.889
       203      2002    22/Jul/2002        417.885          0.000          0.000          0.799          0.799          1.183          0.000          0.000          0.000          0.000        67          4.287          0.493        469.441        469.441          0.000          0.205          1.000          1.000        622.090         11.368         24.778         22.166              0             0         19.310        125.885
       204      2002    23/Jul/2002        416.789          0.000          0.000          0.736          1.196          1.792          0.000          0.000          0.000          0.000        68          4.312          0.518        490.301        490.301          0.000          0.361          1.000          1.000        631.134         11.626         25.612         23.418              0             0         19.696        124.789
       205      2002    24/Jul/2002        415.803          0.000          0.000          0.647          1.459          2.224          0.000          0.000          0.000          0.000        69          4.331          0.545        512.785        512.785          0.000          0.339          1.000          1.000        638.138         11.808         26.511         24.767              0             0         19.970        123.802
       206      2002    25/Jul/2002        417.907          0.000          0.000          0.579          0.579          0.899          2.800          0.000          0.000          0.000        70          4.347          0.556        521.526        521.526          0.000          0.117          1.000          1.000        644.394         11.963         26.861         25.292              0             0         20.202        125.907
       207      2002    26/Jul/2002        417.532          0.000          0.000          1.478          1.478          2.312          1.600          0.000          0.000          0.000        71          4.370          0.589        548.994        548.994          0.000          0.497          1.000          1.000        652.452         12.185         27.960         26.940              0             0         20.534        125.532
       208      2002    27/Jul/2002        414.785          0.000          0.000          1.562          1.562          2.500          0.000          0.000          0.000          0.000        72          4.399          0.632        584.657        584.657          0.000          1.184          1.000          1.000        662.414         12.476         29.386         29.079              0             0         20.971        122.785
       209      2002    28/Jul/2002        416.396          0.000          0.000          0.549          0.549          0.904          2.200          0.000          0.000          0.000        73          4.419          0.645        595.794        595.794          0.000          0.041          1.000          1.000        669.452         12.660         29.832         29.748              0             0         21.247        124.396
       210      2002    29/Jul/2002        424.041          0.000          0.000          1.246          1.246          2.071          9.200          0.000          0.000          0.000        74          4.432          0.668        615.241        615.241          0.000          0.308          1.000          1.000        674.484         12.781         30.610         30.914              0             0         21.429        132.041
       211      2002    30/Jul/2002        421.977          0.000          0.000          1.501          1.501          2.532          0.000          0.000          0.000          0.000        75          4.449          0.703        643.977        643.977          0.000          0.563          1.000          1.000        680.672         12.939         31.759         32.639              0             0         21.666        129.977
       212      2002    31/Jul/2002        420.374          0.000          0.000          0.918          1.361          2.347          0.000          0.000          0.000          0.000        76          4.475          0.746        679.805        679.805          0.000          0.686          1.000          1.000        689.308         13.182         33.192         34.788              0             0         22.030        128.374
       213      2002    01/Aug/2002        418.773          0.000          0.000          1.247          1.247          2.210          0.000          0.000          0.000          0.000        77          4.496          0.784        711.487        711.487          0.000          0.354          1.000          1.000        696.584         13.374         34.459         36.689              0             0         22.319        126.773
       214      2002    02/Aug/2002        417.510          0.000          0.000          0.953          0.953          1.729          0.000          0.000          0.000          0.000        78          4.511          0.808        731.261        731.261          0.000          0.310          1.000          1.000        701.820         13.501         35.250         37.876              0             0         22.508        125.510
       215      2002    03/Aug/2002        416.119          0.000          0.000          1.166          1.166          2.145          0.000          0.000          0.000          0.000        79          4.530          0.845        762.346        762.346          0.000          0.225          1.000          1.000        708.518         13.672         36.494         39.741              0             0         22.765        124.119
       216      2002    04/Aug/2002        414.492          0.000          0.000          1.196          1.196          2.250          0.000          0.000          0.000          0.000        80          4.545          0.878        790.159        790.159          0.000          0.430          1.000          1.000        713.856         13.800         37.606         41.410              0             0         22.958        122.492
       217      2002    05/Aug/2002        429.207          0.000          0.000          0.867          0.867          1.663         16.000          0.000          0.000          0.000        81          4.567          0.911        817.211        817.211          0.000          0.417          1.000          1.000        721.132         13.993         38.688         43.033              0             0         23.246        137.207
       218      2002    06/Aug/2002        429.333          0.000          0.000          1.064          1.064          2.079          1.600          0.000          0.000          0.000        82          4.593          0.957        855.667        855.667          0.000          0.411          1.000          1.000        729.360         14.220         40.227         45.340              0             0         23.588        137.333
       219      2002    07/Aug/2002        428.115          0.000          0.000          0.877          0.877          1.757          0.000          0.000          0.000          0.000        83          4.623          1.001        892.665        892.665          0.000          0.341          1.000          1.000        738.676         14.488         41.707         47.560              0             0         23.989        136.115
       220      2002    08/Aug/2002        425.727          0.000          0.000          1.269          1.408          2.893          0.000          0.000          0.000          0.000        84          4.650          1.071        950.887        950.887          0.000          1.120          1.000          1.000        747.176         14.725         44.035         51.053              0             0         24.345        133.727
       221      2002    09/Aug/2002        423.234          0.000          0.000          1.275          1.275          2.718          0.000          0.000          0.000          0.000        85          4.679          1.141       1009.388       1009.388          0.000          1.217          1.000          1.000        755.880         14.970         46.376         54.563              0             0         24.713        131.234
       222      2002    10/Aug/2002        419.765          0.000          0.000          1.412          1.412          3.119          0.000          0.000          0.000          0.000        86          4.715          1.234       1086.307       1086.307          0.000          2.057          1.000          1.000        766.658         15.291         49.452         59.178              0             0         25.194        127.765
       223      2002    11/Aug/2002        418.300          0.000          0.000          0.892          0.892          2.060          0.000          0.000          0.000          0.000        87          4.742          1.291       1133.991       1133.991          0.000          0.574          1.000          1.000        774.818         15.516         51.360         62.039              0             0         25.532        126.300
