APSIM output file, version = 5.3
Title = oats SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)
     31/10/1988          0.000            137          8.975          0.411      11031.889       1841.016       1800.000          1.886
     01/11/1988          0.000            138          9.000          0.355      11031.889       1841.016       1800.000          0.035
     02/11/1988          0.000            139         10.000          0.001      11031.888       1841.016       1800.000          0.000
     03/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     04/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     05/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     06/11/1988          0.600              0          0.000          0.000          0.000          0.000          0.000          0.000
     07/11/1988          4.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     08/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     09/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     10/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     11/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     12/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     13/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     14/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     15/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     16/11/1988         17.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     17/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
