Summary_file = winterfallow.sum
Title = Winter dicot fallow Simulation
       day      year       weed_lai   weed_biomass weed_grn_biomass
     (day)    (year)      (m^2/m^2)        (kg/ha)          (kg/ha)
       350      1988          0.000          0.000            0.000
       351      1988          0.000          0.000            0.000
       352      1988          0.000          0.000            0.000
       353      1988          0.000          0.000            0.000
       354      1988          0.000          0.000            0.000
       355      1988          0.000          0.000            0.000
       356      1988          0.000          0.000            0.000
       357      1988          0.000          0.000            0.000
       358      1988          0.000          0.000            0.000
       359      1988          0.000          0.000            0.000
       360      1988          0.000          0.000            0.000
       361      1988          0.000          0.000            0.000
       362      1988          0.000          0.000            0.000
       363      1988          0.000          0.000            0.000
       364      1988          0.000          0.000            0.000
       365      1988          0.000          0.000            0.000
       366      1988          0.000          0.000            0.000
         1      1989          0.000          0.000            0.000
         2      1989          0.000          0.000            0.000
         3      1989          0.000          0.000            0.000
         4      1989          0.000          0.000            0.000
         5      1989          0.000          0.000            0.000
         6      1989          0.000          0.000            0.000
         7      1989          0.000          0.000            0.000
         8      1989          0.000          0.000            0.000
         9      1989          0.000          0.000            0.000
        10      1989          0.000          0.000            0.000
        11      1989          0.000          0.000            0.000
        12      1989          0.000          0.000            0.000
        13      1989          0.000          0.000            0.000
        14      1989          0.000          0.000            0.000
        15      1989          0.000          0.000            0.000
        16      1989          0.000          0.000            0.000
        17      1989          0.000          0.000            0.000
        18      1989          0.000          0.000            0.000
        19      1989          0.000          0.000            0.000
        20      1989          0.000          0.000            0.000
        21      1989          0.000          0.000            0.000
        22      1989          0.000          0.000            0.000
        23      1989          0.000          0.000            0.000
        24      1989          0.000          0.000            0.000
        25      1989          0.000          0.000            0.000
        26      1989          0.000          0.000            0.000
        27      1989          0.000          0.000            0.000
        28      1989          0.000          0.000            0.000
        29      1989          0.000          0.000            0.000
        30      1989          0.000          0.000            0.000
        31      1989          0.000          0.000            0.000
        32      1989          0.000          0.000            0.000
        33      1989          0.000          0.000            0.000
        34      1989          0.000          0.000            0.000
        35      1989          0.000          0.000            0.000
        36      1989          0.000          0.000            0.000
        37      1989          0.000          0.000            0.000
        38      1989          0.000          0.000            0.000
        39      1989          0.000          0.000            0.000
        40      1989          0.000          0.000            0.000
        41      1989          0.000          0.000            0.000
        42      1989          0.000          0.000            0.000
        43      1989          0.000          0.000            0.000
        44      1989          0.000          0.000            0.000
        45      1989          0.000          0.000            0.000
        46      1989          0.000          0.000            0.000
        47      1989          0.000          0.000            0.000
        48      1989          0.000          0.000            0.000
        49      1989          0.000          0.000            0.000
        50      1989          0.000          0.000            0.000
        51      1989          0.000          0.000            0.000
        52      1989          0.000          0.000            0.000
        53      1989          0.000          0.000            0.000
        54      1989          0.000          0.000            0.000
        55      1989          0.000          0.000            0.000
        56      1989          0.000          0.000            0.000
        57      1989          0.000          0.000            0.000
        58      1989          0.000          0.000            0.000
        59      1989          0.000          0.000            0.000
        60      1989          0.000          0.000            0.000
        61      1989          0.000          0.000            0.000
