APSIM output file, version = 5.3
Title = stock lablab SAMPLE Simulation
           Date           rain        paddock         number            sex            age         weight     cond_score         intake      wt_change      trampling
            (?)            (?)            (?)            (?)            (?)            (d)           (kg)            (-)            (?)         (kg/d)        (kg/ha)
     02/03/1989          0.000          0.000             14          steer        463.000        163.261         -0.124          0.670         -1.020          0.000
     03/03/1989          0.000          0.000             13          steer        464.000        163.415         -0.123          0.687         -1.012          0.000
     04/03/1989          0.000          0.000             13          steer        465.000        162.406         -0.146          0.679         -1.009          0.000
     05/03/1989          2.800          0.000             13          steer        466.000        161.404         -0.170          0.682         -1.002          0.000
     06/03/1989          0.000          0.000             13          steer        467.000        160.408         -0.194          0.681         -0.996          0.000
     07/03/1989          0.000          0.000             13          steer        468.000        159.432         -0.217          0.711         -0.976          0.000
     08/03/1989          0.000          0.000             13          steer        469.000        158.474         -0.240          0.735         -0.958          0.000
     09/03/1989          0.000          0.000             13          steer        470.000        157.529         -0.263          0.750         -0.945          0.000
     10/03/1989          0.000          0.000             13          steer        471.000        156.597         -0.285          0.766         -0.932          0.000
     11/03/1989          0.000          0.000             12          steer        472.000        156.880         -0.281          0.792         -0.922          0.000
     12/03/1989          0.000          0.000             11          steer        473.000        157.277         -0.275          0.822         -0.910          0.000
     13/03/1989          0.000          0.000             11          steer        474.000        156.386         -0.296          0.848         -0.892          0.000
     14/03/1989          0.000          0.000             11          steer        475.000        155.510         -0.317          0.870         -0.876          0.000
     15/03/1989          0.000          0.000             11          steer        476.000        154.612         -0.338          0.813         -0.898          0.000
     16/03/1989         13.000          0.000             11          steer        477.000        153.747         -0.359          0.869         -0.865          0.000
     17/03/1989          2.400          0.000             11          steer        478.000        152.865         -0.379          0.820         -0.882          0.000
     18/03/1989          0.000          0.000             10          steer        479.000        153.342         -0.370          0.760         -0.913          0.000
     19/03/1989          0.000          0.000             10          steer        480.000        152.425         -0.391          0.739         -0.917          0.000
     20/03/1989          0.000          0.000              9          steer        481.000        153.040         -0.380          0.763         -0.909          0.000
     21/03/1989          0.000          0.000              9          steer        482.000        152.154         -0.401          0.800         -0.886          0.000
     22/03/1989          0.000          0.000              9          steer        483.000        151.294         -0.422          0.846         -0.859          0.000
