Summary_file = output\dingxi_w.sum
Title = Continuous spring wheat at Dingxi
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()             ()             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       305      1972     31/10/1972          0.000          0.000         11.700          0.000              0.123              0.168              0.172              0.130              0.129              0.151              0.168              0.178         15.811          0.000          0.000        306.934          1.139        174.051             27.710             40.000             36.202             30.708             15.965              9.165              7.361              6.940          0.000       9420.532        309.432         56.074          1.480        111.144          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         68.398
       335      1972     30/11/1972          0.000          0.000          6.300          0.000              0.111              0.159              0.165              0.134              0.131              0.151              0.167              0.177          9.505          0.000          0.000        303.730          0.982        175.313             30.276             38.286             35.030             32.003             16.199              9.207              7.371              6.941          0.000       9420.273        309.178         55.514          1.480        111.141          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         35.370
       366      1972     31/12/1972          0.000          0.000          0.900          0.000              0.080              0.149              0.159              0.136              0.133              0.152              0.167              0.176          6.021          0.000          0.000        298.609          0.967        175.575             32.785             36.049             33.865             32.892             16.451              9.228              7.370              6.936          0.000       9420.269        309.176         55.505          1.480        111.124          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         13.205
        31      1973     31/01/1973          0.000          0.000          4.100          0.000              0.068              0.141              0.154              0.138              0.134              0.152              0.166              0.175          7.279          0.000          0.000        295.430          0.967        175.669             35.144             33.989             32.840             33.470             16.703              9.238              7.361              6.926          0.000       9420.269        309.176         55.505          1.480        111.124          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         13.132
        59      1973     28/02/1973          0.000          1.000          0.000          0.000              0.040              0.133              0.151              0.139              0.136              0.152              0.165              0.174          4.553          0.000          0.000        290.877          0.917        175.848             37.330             32.178             32.071             33.822             16.926              9.246              7.354              6.920          0.000       9420.269        309.176         55.505          1.480        111.124          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         36.266
        90      1973     31/03/1973          0.000          0.000         10.000          0.000              0.037              0.127              0.147              0.139              0.138              0.152              0.165              0.174         11.977          0.000          0.000        288.900         30.743        176.181             39.349             30.714             31.369             34.082             17.156              9.254              7.345              6.910          0.000       9420.292        309.392         59.892          1.314         98.656          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         72.164
       120      1973     30/04/1973          0.000          0.000         44.900          0.281              0.223              0.169              0.145              0.140              0.139              0.153              0.165              0.173         17.810          0.000          0.000        315.709        127.301        199.380             49.487             43.722             31.008             34.287             17.366              9.267              7.339              6.903          0.000       9419.542        310.936         58.625          1.092         81.953          0.042          0.000         37.812          5.077        163.741          0.169         0          1.000          0.569        131.737
       151      1973     31/05/1973          0.000          0.000         52.900         25.578              0.116              0.140              0.141              0.140              0.140              0.153              0.164              0.173         44.277          0.000          0.000        298.754          9.337        277.231            100.781             66.994             33.767             34.617             17.566              9.281              7.333              6.893          0.000       9414.929        312.206         52.548          0.494         37.096          1.106          0.000       1551.311         50.620        520.333          3.493         0          1.000          0.872        137.690
       181      1973     30/06/1973          0.000          0.000         61.300         14.996              0.248              0.139              0.130              0.122              0.139              0.153              0.164              0.172         41.162          0.000          0.000        303.895          2.819        282.225             91.235             82.468             33.671             34.072             17.263              9.298              7.331              6.887          0.000       9413.699        314.049         59.725          0.197         14.780          0.251          0.000       2367.703         58.247        936.319          3.526         0          1.000          0.519        146.171
       212      1973     31/07/1973          0.000          0.000         55.400         23.684              0.209              0.131              0.130              0.115              0.125              0.147              0.163              0.172         45.713          0.000          0.000        289.898          0.581        259.176             57.969             91.947             34.823             33.975             17.046              9.197              7.330              6.889          0.000       9408.346        310.572         56.175          0.073          5.501          0.208       1403.429       3350.468         49.961       1403.858          6.352         0          1.000          0.940        175.393
