Summary_file = output\xifeng_w_n0.sum
Title = Continuous winter wheat at Xifeng with low N
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()            (?)             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       189      1964     07/07/1964          2.000          2.000         10.400          0.618              0.255              0.257              0.259              0.263              0.268              0.270              0.270              0.280              0.280         11.817          0.000          0.000        809.738          0.975         81.527              3.196              4.409              4.298              5.567              7.722              9.026             15.411             16.804             15.094          0.000      13710.771        210.926         27.323          0.003          0.111          0.002        553.194       1992.386         32.341       2355.160          4.547       187          1.000          1.000         31.618
       213      1964     31/07/1964          0.000          0.000        131.300          0.000              0.252              0.256              0.267              0.270              0.270              0.271              0.271              0.282              0.283         53.338         17.183         52.605        817.912          1.607         85.278              2.815              5.616              7.741              6.426              7.074              8.227             15.073             16.591             15.715          0.184      13694.484        220.881         35.587          0.375         18.470          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        119.820
       244      1964     31/08/1964          0.000          1.000        110.100          0.000              0.252              0.256              0.266              0.270              0.270              0.270              0.270              0.281              0.281         59.142         20.391         32.892        815.588          1.357         94.805              4.785              8.527             11.450              7.954              7.309              7.945             14.725             16.316             15.795          0.130      13667.642        217.409         19.789          0.111          5.453          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        179.275
       264      1964     20/09/1964          0.000          3.000        151.000          0.000              0.258              0.262              0.269              0.271              0.272              0.274              0.274              0.285              0.286         39.643         29.319         71.252        826.375          1.425         90.654              1.714              4.931             10.734             10.022              8.731              8.197             14.266             15.939             16.120          0.284      13659.049        215.518         17.001          0.043          2.109          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         51.386
       274      1964     30/09/1964          0.000          0.000         27.200          0.000              0.247              0.254              0.267              0.270              0.271              0.271              0.271              0.281              0.281         16.852          1.657         19.403        815.663         10.928        100.380             10.925              6.015             10.653             10.130              8.891              8.214             14.074             15.624             15.854          0.046      13656.252        214.782         16.307          0.030          1.468          0.000          0.000          0.000          0.000        119.920          0.000         0          1.000          1.000         17.090
       305      1964     31/10/1964          0.000          0.000         87.200          2.056              0.267              0.270              0.273              0.273              0.274              0.274              0.273              0.283              0.283         35.363          2.436         35.209        827.799          2.913         87.265              2.167              4.365              6.897             10.055              9.545              8.719             14.179             15.485             15.855          0.140      13649.750        213.105         18.863          0.017          0.817          0.612          0.000        352.062         28.635        459.080          1.657         0          1.000          1.000         51.108
       335      1964     30/11/1964          0.000          0.000          5.600          2.306              0.244              0.245              0.251              0.262              0.270              0.270              0.270              0.280              0.280         18.876          0.000          8.160        804.057          2.339         81.112              1.935              2.507              3.843              9.673              9.442              8.633             14.066             15.320             15.693          0.008      13647.986        212.803         24.983          0.016          0.784          1.121          0.000        689.475         43.000        582.680          2.200         0          0.949          1.000         33.890
       366      1964     31/12/1964          0.000          0.000          4.700          0.000              0.233              0.240              0.251              0.261              0.268              0.270              0.270              0.280              0.280          7.498          0.000          0.000        801.259          2.321         81.242              1.996              2.528              3.960              9.627              9.389              8.638             14.074             15.328             15.702          0.000      13647.930        212.800         32.596          0.016          0.783          0.002          0.000        689.500         36.813        586.700          1.986         0          0.993          1.000         12.639
        31      1965     31/01/1965          0.000          0.000          1.500          0.000              0.221              0.230              0.243              0.255              0.263              0.270              0.270              0.280              0.280         10.435          0.000          0.000        792.324          2.290         81.364              2.428              2.455              4.072              9.413              9.239              8.637             14.079             15.334             15.708          0.000      13647.848        212.808         39.050          0.016          0.783          0.002          0.000        689.532         31.516        590.600          1.986         0          1.000          1.000         20.896
        59      1965     28/02/1965          0.000          0.000          4.000          0.002              0.218              0.228              0.240              0.251              0.260              0.267              0.270              0.280              0.280          8.283          0.000          0.000        788.039          2.199         81.556              2.685              2.551              4.225              9.274              9.131              8.562             14.081             15.337             15.711          0.000      13647.582        212.856         43.736          0.016          0.783          0.002          0.000        689.771         27.399        608.900          1.986         0          1.000          1.000         27.292
        90      1965     31/03/1965          0.000          0.000         19.700          0.056              0.241              0.245              0.250              0.252              0.258              0.265              0.270              0.280              0.280         11.928          0.000          0.000        795.754          1.670         82.658              2.589              3.403              4.694              9.286              9.063              8.484             14.085             15.340             15.715          0.000      13645.499        213.326         45.034          0.015          0.752          0.009          0.000        694.744         23.610        734.420          1.986         0          1.000          1.000         71.832
       120      1965     30/04/1965          0.000          0.000         63.100          1.048              0.255              0.260              0.269              0.271              0.271              0.272              0.271              0.281              0.281         32.107          1.564          4.994        819.141          1.128         84.499              2.117              4.037              5.747              9.062              9.433              8.789             14.169             15.376             15.768          0.030      13637.839        214.232         38.270          0.011          0.552          0.031          0.000        771.461         22.436       1086.980          2.014         0          1.000          1.000        115.607
       151      1965     31/05/1965          0.000          0.000         30.000          2.880              0.262              0.262              0.258              0.263              0.269              0.270              0.270              0.280              0.280         31.440          0.000          2.855        811.966          1.124         86.319              3.923              6.142              6.437              8.348              8.683              8.149             13.622             15.313             15.702          0.003      13620.027        212.783         26.951          0.008          0.369          0.031         80.496        919.940         20.666       1657.460          2.370         0          1.000          1.000        177.910
       181      1965     30/06/1965          0.000          0.000         37.900          3.728              0.247              0.249              0.253              0.262              0.269              0.270              0.270              0.280              0.280         31.964          1.640          6.803        805.731          1.072         86.657              6.224              7.904              7.757              7.479              7.687              7.300             12.143             14.474             15.688          0.029      13594.898        207.743         18.350          0.005          0.223          0.031        323.320       1080.414         17.781       2312.720          3.146         0          1.000          1.000        206.837
       184      1965     03/07/1965          2.000          2.000          3.600          0.000              0.249              0.252              0.254              0.262              0.269              0.270              0.270              0.280              0.280          2.734          0.000          0.000        806.596          1.101         87.238              6.282              8.260              7.912              7.485              7.687              7.304             12.144             14.475             15.689          0.000      13593.220        207.353         17.977          0.004          0.187          0.002        323.320       1080.414         17.603       2312.720          3.146       182          1.000          1.000          4.561
       212      1965     31/07/1965          0.000          0.000        114.000          0.000              0.242              0.249              0.261              0.269              0.270              0.270              0.270              0.280              0.280         58.532         14.791         37.014        810.259          1.229         95.112              6.710              9.857             12.250              9.008              8.092              7.546             12.221             14.066             15.362          0.167      13568.846        208.887         19.761          0.198          7.367          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        164.412
       243      1965     31/08/1965          0.000          1.000         98.400          0.000              0.269              0.269              0.267              0.270              0.270              0.270              0.270              0.280              0.280         56.967          9.313         23.763        818.616          1.246        104.776              7.297             13.208             15.988             10.484              8.648              7.792             12.337             13.874             15.147          0.116      13540.668        202.238         12.369          0.081          3.032          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        172.248
       264      1965     21/09/1965          0.000          3.000         13.700          0.000              0.239              0.246              0.258              0.268              0.270              0.270              0.270              0.280              0.280         20.872          0.481          3.099        807.865          1.265        110.053             10.675             13.605             16.953             10.802              8.796              7.853             12.373             13.866             15.130          0.021      13527.921        198.835         10.471          0.060          2.241          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         91.709
