Summary_file = oryza-wnl.sum
Title = oryza Sample Simulation
       day      year          no3()             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)
       350      1992       8457.785           4039.126           2415.135           1508.622            380.792             83.491             20.747              9.872
       351      1992       8511.904           4088.534           2421.657           1503.685            382.032             84.796             21.225              9.975
       352      1992       8566.693           4154.195           2412.298           1499.752            382.820             85.896             21.659             10.072
       353      1992       8620.934           4208.791           2413.219           1496.607            383.294             86.811             22.050             10.162
       354      1992       8673.839           4270.406           2405.932           1493.744            383.547             87.567             22.397             10.246
       355      1992       8726.195           4330.635           2399.500           1491.280            383.573             88.181             22.704             10.322
       356      1992       8778.169           4390.341           2393.215           1489.185            383.398             88.669             22.971             10.391
       357      1992       8829.321           4449.147           2387.008           1487.418            383.049             89.045             23.201             10.452
       358      1992       8882.076           4509.492           2380.872           1485.943            382.544             89.323             23.396             10.506
       359      1992       8936.993           4572.018           2374.803           1484.645            381.901             89.514             23.560             10.552
       360      1992       8993.399           4636.052           2368.763           1483.284            381.372             89.642             23.694             10.592
       361      1992       9052.429           4702.664           2362.781           1481.875            380.955             89.724             23.804             10.625
       362      1992       9112.890           4737.280           2388.459           1482.202            380.629             89.775             23.893             10.652
       363      1992       9173.913           4767.477           2415.528           1486.091            380.376             89.804             23.963             10.674
       364      1992       9236.287           4797.262           2442.407           1491.906            380.182             89.819             24.019             10.692
       365      1992       9298.768           4867.800           2433.562           1492.778            380.034             89.825             24.063             10.705
       366      1992       9357.211           4836.938           2519.606           1496.103            379.925             89.825             24.097             10.716
