ApsimVersion = 6.1
Title = populneaW60
           Date            day            lai        stem_wt        leaf_wt             fw             fn           rain     irrigation             es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)         sw(11)         sw(12)       sw_dep()             ft      plantleaf      plantstem        plantla   plantbiomass           swsi         plants           slai          no3()          nh4()     root_depth         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)         rlv(8)         rlv(9)        rlv(10)        rlv(11)        rlv(12)             ep             eo            rtr          sw150           petr           peta          ffasw         height       ftcanopy      sw_demand      sw_supply         runoff     cum_stress            esw       fwcanopy             ga        biomass           fvpd
             ()          (day)        (m2/m2)        (kg/ha)        (kg/ha)          (0-1)          (0-1)           (mm)           (mm)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)          (0-1)            (?)            (?)            (?)            (?)            (?)          (/ha)        (m2/m2)        (kg/ha)        (kg/ha)             ()       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)           (mm)            (?)            (?)             ()             ()          (0-1)           (mm)          (0-1)           (mm)           (mm)           (mm)            (d)           (mm)          (0-1)             ()        (kg/ha)          (0-1)
     21/08/1918            233          0.154          144.3          248.1          1.000          1.000          0.000          0.000          0.548          0.277          0.320          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1302.546          1.000          0.000          0.000          0.000          0.000          0.000      58374.809          0.000          370.5          138.0        301.650          0.023          0.011          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.151          4.056          0.000          0.000          0.010          0.141          1.000        369.101          0.975          0.151          0.198          0.000         73.528        113.046          0.315          0.039          395.5          1.000
     21/08/1919            233          0.443          355.9          713.9          0.071          1.000          0.000          0.000          0.019          0.190          0.331          0.380          0.300          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1291.964          1.000          0.000          0.000          0.000          0.000          0.000      62498.684          0.003          362.8          140.6        377.812          0.029          0.036          0.005          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.034          3.796          0.000          0.000          0.061          0.425          1.000        438.375          0.700          0.486          0.034          0.000         41.353        102.464          0.000          0.042         1074.0          1.000
     21/08/1920            234          0.370          238.5          596.8          1.000          0.996          0.600          0.000          0.634          0.366          0.401          0.380          0.300          0.251          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1328.179          1.000          0.000          0.000          0.000          0.000          0.000      62499.410          0.000          362.1          143.3        300.205          0.035          0.032          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.208          2.229          0.000          0.000          0.019          0.189          1.000        405.788          0.575          0.208          0.642          0.000         11.289        138.679          1.000          0.041          835.4          1.000
     21/08/1921            233          0.484          310.2          780.4          1.000          0.992          0.000          0.000          0.502          0.347          0.486          0.429          0.302          0.251          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1353.292          1.000          0.000          0.000          0.000          0.000          0.000      62499.000          0.000          376.5          147.3        641.844          0.021          0.018          0.015          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.367          3.746          0.000          0.000          0.064          0.303          1.000        426.012          0.700          0.367          1.447          0.000         13.538        163.792          1.000          0.042         1090.8          1.000
     21/08/1922            233          0.172          127.8          277.8          0.884          1.000          0.000          0.000          0.481          0.252          0.324          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1299.336          1.000          0.000          0.000          0.000          0.000          0.000      49764.859          0.000          402.5          159.7        300.181          0.028          0.012          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.153          3.907          0.000          0.000          0.011          0.162          1.000        360.855          0.300          0.173          0.153          0.000         49.432        109.836          0.000          0.039          412.8          1.000
     21/08/1923            233          0.173          140.3          279.5          0.001          1.000          0.000          0.000          0.017          0.190          0.320          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1289.508          1.000          0.000          0.000          0.000          0.000          0.000      59512.898          0.001          402.6          161.9        302.190          0.029          0.015          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.543          0.000          0.000          0.006          0.097          1.000        367.288          0.775          0.103          0.000          0.000         45.965        100.008          0.000          0.039          423.4          1.000
     21/08/1924            234          0.345          257.7          556.0          0.135          1.000          0.000          0.000          3.109          0.203          0.326          0.380          0.300          0.251          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1292.729          1.000          0.000          0.000          0.000          0.000          0.000      62499.309          0.002          402.8          166.9        309.756          0.042          0.034          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.048          4.130          0.000          0.000          0.044          0.310          1.000        412.306          0.850          0.353          0.048          0.000         28.701        103.229          0.000          0.041          816.8          1.000
     21/08/1925            233          0.398          271.4          642.4          0.989          1.000          6.100          0.000          0.910          0.333          0.332          0.380          0.300          0.251          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1312.949          1.000          0.000          0.000          0.000          0.000          0.000      62499.234          0.000          407.9          172.6        301.359          0.048          0.037          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.362          3.644          0.000          0.000          0.050          0.315          1.000        416.367          1.000          0.366          0.362          0.000         13.999        123.449          0.000          0.041          914.0          1.000
     21/08/1926            233          0.324          246.8          522.3          0.035          1.000          0.000          0.000          0.018          0.190          0.325          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1290.282          1.000          0.000          0.000          0.000          0.000          0.000      62499.367          0.002          413.2          174.9        301.986          0.037          0.031          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.014          3.954          0.000          0.000          0.040          0.369          1.000        408.932          1.000          0.409          0.014          0.000         31.111        100.782          0.000          0.041          772.3          1.000
     21/08/1927            233          0.677          459.6         1092.5          0.236          1.000          0.000          0.000          0.337          0.207          0.362          0.382          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1299.775          1.000          0.000          0.000          0.000          0.000          0.000      62497.809          0.003          391.1          181.4        700.205          0.027          0.031          0.029          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.190          4.061          0.000          0.000          0.129          0.677          1.000        460.203          0.625          0.806          0.190          0.000         14.405        110.275          0.000          0.043         1557.5          1.000
