APSIM output file, version = 5.3
Title = p0N175
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1982             97     07/04/1982        723.800              53.089            274.566          4.809          2.360          1.859          1.868          1.085          1.112          1.091          1.075          1.071          1.065          0.000          0.025        140.608          0.447          1.089         26.693         68.275       1261.760         369.805          0.182          0.260          0.275          0.287          0.295          0.299          0.300          0.300          0.300          0.300        487.839        101.654          0.041          0.041                 0.360                 0.358                 0.832             39       1159.670       3771.684          0.269          6.102       1700.000         55.306         11.361         10.240         13.447         30.011         25.979         19.184         12.975          8.482          5.453          3.477         37.547         65.551              ?              ?              ?
           1983            101     11/04/1983        490.900               7.714            114.907          5.569          2.523          1.912          1.921          1.112          1.121          1.093          1.078          1.074          1.069          0.000          0.017        157.797          0.507          0.768         18.198         74.189       1260.768         340.521          0.174          0.255          0.270          0.281          0.286          0.289          0.290          0.294          0.298          0.300        477.596         92.176          0.096          0.096                 0.336                 0.333                 0.836             48        958.009       3297.288          0.237          5.473       1700.000         54.509         44.400         29.277         25.770         31.283         14.901          6.088          2.719          1.523          1.036          0.799         37.545         13.938              ?              ?              ?
           1984            116     25/04/1984        627.200              16.973            208.929          5.235          2.345          1.839          1.870          1.095          1.128          1.102          1.080          1.074          1.070          0.000          0.017        154.516          0.471          0.906         20.289         64.823       1257.954         372.716          0.182          0.262          0.276          0.286          0.293          0.297          0.300          0.300          0.300          0.300        487.192        101.022          0.027          0.027                 0.366                 0.363                 0.829             57       1282.466       3619.071          0.298          5.685       1700.000         53.033         13.672         13.321         17.930         37.652         29.152         19.096         11.347          6.461          3.696          2.190         37.816         49.575              ?              ?              ?
           1985             98     08/04/1985       1049.700              52.564            526.563          4.803          2.289          1.798          1.857          1.077          1.105          1.077          1.066          1.063          1.059          0.000          0.020         84.541          0.440          0.973         22.856         63.535       1255.424         439.089          0.193          0.272          0.284          0.292          0.297          0.300          0.300          0.300          0.300          0.300        492.779        105.433          0.000          0.000                 0.385                 0.382                 0.820             41       1235.822       4424.698          0.309          7.433       1700.000         68.110          4.390          2.508          2.923          7.976          9.676         10.572         11.260         11.781         11.916         11.540         37.810        129.321              ?              ?              ?
           1986            107     17/04/1986        930.700              61.721            446.033          4.655          2.346          1.834          1.866          1.081          1.112          1.087          1.072          1.065          1.061          0.000          0.025        115.239          0.402          1.180         27.730         63.027       1252.848         406.064          0.196          0.268          0.280          0.290          0.296          0.299          0.300          0.300          0.300          0.300        491.467        103.838          0.000          0.000                 0.358                 0.356                 0.847             49       1157.662       4005.187          0.287          6.577       1700.000         64.091          6.458          4.955          6.522         17.040         17.915         16.219         14.102         12.232         10.636          9.160         37.828        109.302              ?              ?              ?
           1987             97     07/04/1987        650.000              33.345            269.230          5.037          2.493          1.898          1.937          1.112          1.122          1.087          1.070          1.064          1.060          0.000          0.023        147.730          0.500          1.072         24.859         74.732       1252.297         320.393          0.205          0.279          0.288          0.295          0.296          0.294          0.289          0.294          0.299          0.300        490.383        102.383          0.042          0.042                 0.361                 0.358                 0.825             44        856.108       3228.787          0.224          5.498       1700.000         52.508         14.404         14.391         17.307         34.106         26.352         17.108         10.545          6.660          4.201          2.656         37.674         57.800              ?              ?              ?
           1988             97     06/04/1988        919.200              86.821            499.437          4.696          2.314          1.831          1.872          1.080          1.109          1.086          1.071          1.065          1.060          0.000          0.024        119.520          0.389          1.358         29.230         62.454       1248.749         324.930          0.199          0.270          0.282          0.292          0.298          0.300          0.300          0.300          0.300          0.300        493.041        105.183          0.022          0.022                 0.348                 0.345                 0.846             41       1331.837       3448.206          0.293          5.397       1700.000         51.459          3.615          2.043          2.994         12.153         17.470         19.588         18.862         16.736         14.224         11.833         37.801        135.254              ?              ?              ?
           1989            106     16/04/1989        826.400              34.267            361.145          4.586          2.225          1.789          1.829          1.052          1.090          1.073          1.064          1.060          1.056          0.000          0.021        123.081          0.427          0.943         21.342         63.889       1246.588         394.315          0.193          0.273          0.284          0.293          0.297          0.298          0.299          0.300          0.300          0.300        492.261        105.008          0.000          0.000                 0.368                 0.365                 0.847             46       1369.016       3870.002          0.305          6.121       1700.000         57.523          5.312          3.333          4.597         15.989         20.367         20.584         18.392         15.005         11.359          8.143         37.685        103.896              ?              ?              ?
           1990             87     28/03/1990        819.000              48.098            420.644          4.568          2.294          1.821          1.867          1.060          1.094          1.070          1.060          1.056          1.052          0.000          0.028        110.017          0.643          1.320         30.229         69.041       1245.297         329.303          0.289          0.301          0.306          0.306          0.306          0.306          0.306          0.306          0.306          0.306        518.016        130.016          0.034          0.034                 0.382                 0.384                 0.814             30       1159.957       3437.647          0.275          5.589       1700.000         51.560          2.489          2.755          3.080          9.125         12.907         15.707         17.224         17.176         15.852         13.703         37.586        130.114              ?              ?              ?
           1991             85     26/03/1991        804.900              62.717            320.376          5.834          2.312          1.814          1.865          1.060          1.091          1.068          1.058          1.055          1.051          0.000          0.017        145.836          0.699          0.650         16.028         68.484       1243.592         405.049          0.252          0.290          0.297          0.300          0.301          0.301          0.301          0.302          0.302          0.302        505.669        117.669          0.000          0.000                 0.344                 0.342                 0.859             32       1348.881       3816.280          0.322          5.995       1700.000         60.642          8.133          8.821         12.129         30.212         28.157         22.130         15.527         10.211          6.472          4.045         37.492         80.788              ?              ?              ?
