Summary_file = step8.sum
Title = Step 8. swim
           date  transpiration
     19/11/1977          0.032
     20/11/1977          0.039
     21/11/1977          0.021
     22/11/1977          0.023
     23/11/1977          0.042
     24/11/1977          0.047
     25/11/1977          0.062
     26/11/1977          0.060
     27/11/1977          0.053
     28/11/1977          0.051
     29/11/1977          0.057
     30/11/1977          0.079
      1/12/1977          0.075
      2/12/1977          0.031
      3/12/1977          0.034
      4/12/1977          0.075
      5/12/1977          0.067
      6/12/1977          0.071
      7/12/1977          0.076
      8/12/1977          0.065
      9/12/1977          0.079
     10/12/1977          0.074
     11/12/1977          0.073
     12/12/1977          0.056
     13/12/1977          0.067
     14/12/1977          0.079
     15/12/1977          0.055
     16/12/1977          0.075
     17/12/1977          0.073
     18/12/1977          0.069
     19/12/1977          0.033
     20/12/1977          0.063
     21/12/1977          0.062
     22/12/1977          0.055
     23/12/1977          0.055
     24/12/1977          0.060
     25/12/1977          0.061
     26/12/1977          0.071
     27/12/1977          0.067
     28/12/1977          0.061
     29/12/1977          0.058
     30/12/1977          0.064
     31/12/1977          0.052
