Summary_file = sugar.sum
Title = Sugar Sample Simulation
           Date             es            eos             eo          drain   infiltration            esw          esw()             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)     residue_wt     irrigation            lai        biomass  green_biomass    swdef_photo    nfact_photo
             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)        (g/m^2)        (g/m^2)             ()             ()
     16/06/1980          0.523          0.523          1.532          2.155          0.000        343.678        343.708             19.495             36.547             35.904             18.475             12.423              9.869              8.552       3335.386          0.000          0.038          7.416          7.416          1.000          1.000
     17/06/1980          1.562          1.762          5.045          2.022          0.000        340.001        340.095             19.355             35.865             36.100             18.572             12.419              9.830              8.512       3269.061          0.000          0.042          7.943          7.943          1.000          1.000
     18/06/1980          1.575          1.575          4.429          1.893          0.000        336.454        336.533             19.851             34.929             36.166             18.655             12.421              9.795              8.473       3210.493          0.000          0.046          8.445          8.445          1.000          1.000
     19/06/1980          0.811          0.811          2.244          1.769          0.000        333.822        333.874             19.980             34.638             36.084             18.711             12.424              9.765              8.436       3156.230          0.000          0.048          8.730          8.730          1.000          1.000
     20/06/1980          0.966          0.966          2.633          1.650          0.000        331.164        331.205             20.085             34.464             36.032             18.750             12.427              9.738              8.401       3106.696          0.000          0.050          9.088          9.088          1.000          1.000
     21/06/1980          1.356          1.698          4.565          1.539          0.000        328.134        328.270             20.543             34.232             35.961             18.776             12.428              9.713              8.368       3076.771          0.000          0.055          9.780          9.780          1.000          1.000
     22/06/1980          0.589          1.789          4.780          1.433          0.000        325.988        326.112             20.809             34.136             35.917             18.787             12.427              9.691              8.338       3043.450          0.000          0.061         10.540         10.540          1.000          1.000
     23/06/1980          0.533          1.652          4.385          1.333          0.000        324.015        324.122             21.105             34.065             35.897             18.786             12.423              9.670              8.309       3015.241          0.000          0.066         11.301         11.301          1.000          1.000
     24/06/1980          0.427          0.427          1.128          1.238          3.000        325.330        325.350             20.868             34.457             35.957             18.779             12.415              9.650              8.283       2987.235          0.000          0.068         11.528         11.528          1.000          1.000
     25/06/1980          0.474          0.474          1.242          1.148          2.000        325.678        325.708             20.543             34.772             36.023             18.780             12.406              9.630              8.258       2950.477          0.000          0.070         11.778         11.778          1.000          1.000
     26/06/1980          1.232          1.232          3.196          1.062          0.000        323.280        323.384             20.689             34.571             36.086             18.786             12.397              9.611              8.234       2911.083          0.000          0.074         12.403         12.403          1.000          1.000
     27/06/1980          1.000          1.000          2.570          0.980          0.000        321.226        321.300             20.954             34.373             36.151             18.795             12.389              9.593              8.212       2881.001          0.000          0.078         12.967         12.967          1.000          1.000
     28/06/1980          1.774          1.774          4.528          0.902          0.000        318.333        318.551             21.447             34.008             36.163             18.809             12.382              9.576              8.190       2856.255          0.000          0.086         14.001         14.001          1.000          1.000
     29/06/1980          0.497          1.737          4.421          0.827          0.000        316.815        317.008             21.743             33.911             36.159             18.818             12.377              9.559              8.170       2833.334          0.000          0.093         15.052         15.052          1.000          1.000
     30/06/1980          0.462          0.875          2.222          0.756          0.000        315.474        315.597             22.073             33.849             36.157             18.829             12.375              9.543              8.151       2818.413          0.000          0.098         15.666         15.666          1.000          1.000
     01/07/1980          0.433          1.298          3.290          0.689          0.000        314.164        314.352             22.425             33.791             36.149             18.846             12.374              9.528              8.132       2803.939          0.000          0.104         16.573         16.573          1.000          1.000
     02/07/1980          0.409          1.298          3.290          0.626          0.000        312.948        313.129             22.831             33.737             36.141             18.863             12.376              9.515              8.115       2794.648          0.000          0.111         17.526         17.526          1.000          1.000
     03/07/1980          0.389          1.040          2.640          0.566          0.000        311.811        311.993             23.268             33.688             36.132             18.883             12.378              9.503              8.099       2791.365          0.000          0.118         18.417         18.417          1.000          1.000
     04/07/1980          0.371          1.130          2.876          0.510          0.000        310.703        310.929             23.724             33.638             36.119             18.903             12.382              9.492              8.084       2790.961          0.000          0.125         19.407         19.407          1.000          1.000
     05/07/1980          0.356          1.158          2.960          0.459          0.000        309.672        309.889             24.209             33.591             36.107             18.924             12.386              9.482              8.071       2790.961          0.000          0.133         20.511         20.511          1.000          1.000
     06/07/1980          0.342          1.357          3.485          0.410          0.000        308.639        308.919             24.692             33.537             36.085             18.943             12.391              9.474              8.058       2790.961          0.000          0.143         21.885         21.885          1.000          1.000
     07/07/1980          0.330          1.242          3.211          0.366          0.000        307.760        307.943             25.151             33.484             36.066             18.959             12.396              9.467              8.047       2790.961          0.000          0.153         23.304         23.304          1.000          1.000
     08/07/1980          0.319          1.020          2.653          0.325          0.000        306.877        307.115             25.621             33.432             36.040             18.978             12.403              9.460              8.037       2790.961          0.000          0.162         24.474         24.474          1.000          1.000
     09/07/1980          0.309          1.085          2.837          0.288          0.000        305.987        306.280             26.102             33.378             36.007             19.003             12.411              9.455              8.028       2790.961          0.000          0.171         25.774         25.774          1.000          1.000
     10/07/1980          0.300          1.723          4.531          0.254          0.000        304.967        305.433             26.571             33.302             35.946             19.021             12.420              9.450              8.019       2790.961          0.000          0.188         28.131         28.131          1.000          1.000
     11/07/1980          0.292          1.492          3.964          0.223          0.000        303.999        304.452             27.041             33.223             35.874             19.044             12.430              9.446              8.012       2790.961          0.000          0.204         30.318         30.318          1.000          1.000
     12/07/1980          0.284          1.702          4.564          0.195          0.000        303.132        303.519             27.531             33.140             35.802             19.056             12.441              9.444              8.006       2790.961          0.000          0.223         33.012         33.012          1.000          1.000
     13/07/1980          0.992          0.992          2.692          0.171          1.000        302.823        302.969             27.967             33.136             35.775             19.062             12.453              9.441              8.000       2790.961          0.000          0.236         34.688         34.688          1.000          1.000
