Summary_file = output\xifeng_w_n0.sum
Title = Continuous winter wheat at Xifeng with low N
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)      residue_n     residue_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
       181      1971     30/06/1971          0.000          0.000         78.700          2.824              0.266              0.269              0.278              0.278              0.276              0.275              0.272              0.281              0.281         40.440          4.552          0.902        829.617          0.941        107.942              3.628              7.718             10.251             11.137             11.425             11.167             17.702             18.093             16.820          0.061      12816.335        181.853         20.609          0.003          0.103          0.042        417.195       1460.985         24.225       2303.380          3.766         0          1.000          1.000        169.963
       184      1971     03/07/1971          2.000          2.000         11.500          0.035              0.264              0.267              0.276              0.277              0.277              0.277              0.274              0.283              0.283          6.573          0.001          3.288        831.220          0.950        108.107              3.424              7.556             10.373             11.049             11.431             11.264             17.841             18.215             16.955          0.023      12814.580        181.614         20.077          0.002          0.086          0.002        417.195       1460.985         23.984       2303.380          3.766       182          0.000          1.000         16.135
       212      1971     31/07/1971          0.000          0.000         81.300          0.000              0.251              0.254              0.261              0.269              0.270              0.270              0.270              0.280              0.280         40.626         17.454         42.695        811.745          1.071        114.977              6.520              9.724             12.551             11.018             11.120             11.037             17.790             18.100             17.116          0.160      12786.006        184.763         20.461          0.767         30.904          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        199.137
       243      1971     31/08/1971          0.000          1.000         96.200          0.000              0.250              0.255              0.265              0.270              0.270              0.271              0.271              0.281              0.281         47.341         16.156         29.116        815.332          1.140        122.515              5.919             11.210             16.338             12.713             11.523             11.169             17.982             18.255             17.404          0.195      12759.155        181.923         12.526          0.291         11.719          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        177.137
       264      1971     21/09/1971          0.000          3.000         16.500          0.000              0.246              0.251              0.260              0.268              0.270              0.270              0.270              0.280              0.280         20.127          0.000          1.777        809.928          1.242        126.944              8.202             12.658             17.159             12.719             11.560             11.160             17.955             18.202             17.330          0.001      12748.249        179.626         10.704          0.236          9.525          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         60.838
       273      1971     30/09/1971          0.000          0.000         16.800          0.000              0.250              0.255              0.265              0.270              0.270              0.270              0.270              0.280              0.280         13.391          0.000          0.000        813.337          9.839        139.751             18.511             14.084             17.994             12.921             11.576             11.164             17.960             18.207             17.334          0.001      12745.270        179.136         10.614          0.175          7.050          0.000          0.000          0.000          0.000        118.550          0.000         0          0.000          0.800         27.240
       304      1971     31/10/1971          0.000          0.000         14.900          8.060              0.226              0.235              0.250              0.262              0.269              0.270              0.270              0.280              0.280         20.236          0.000          0.000        799.942          2.004        112.798              6.546              6.924             10.355             12.654             11.594             11.178             17.976             18.222             17.347          0.000      12737.227        177.503         14.718          0.156          6.303          1.181          0.000        715.201         54.779        466.370          3.044         0          1.000          1.000         71.386
       334      1971     30/11/1971          0.000          0.000         37.200          3.997              0.247              0.251              0.259              0.268              0.270              0.270              0.270              0.280              0.280         12.050          0.417         10.631        810.047          1.597         99.441              1.867              3.228              5.274             12.343             11.761             11.248             18.037             18.262             17.419          0.040      12734.954        177.364         25.676          0.142          5.733          0.002          0.000       1230.808         74.694        588.770          4.111         0          0.976          1.000         32.573
       365      1971     31/12/1971          0.000          0.000          0.600          0.001              0.239              0.243              0.252              0.261              0.268              0.270              0.270              0.280              0.280          7.720          0.000          0.000        802.926          1.545         99.639              2.337              3.199              5.392             12.031             11.694             11.251             18.042             18.268             17.425          0.000      12734.680        177.446         37.736          0.137          5.525          0.002          0.000       1230.929         63.949        605.630          4.106         0          1.000          1.000         16.515
        31      1972     31/01/1972          0.000          0.000          6.800          0.000              0.249              0.252              0.255              0.260              0.266              0.270              0.270              0.280              0.280          4.366          0.000          0.000        805.359          1.455         99.815              2.240              3.458              5.547             11.974             11.599             11.252             18.044             18.271             17.429          0.000      12734.215        177.667         47.478          0.130          5.260          0.002          0.000       1230.960         54.747        609.050          4.087         0          1.000          1.000         10.490
        60      1972     29/02/1972          0.000          0.000         15.900          0.000              0.262              0.264              0.269              0.270              0.270              0.270              0.270              0.280              0.280          3.427          0.000          0.000        817.832          1.295        100.099              1.627              3.708              5.882             12.105             11.778             11.252             18.044             18.272             17.431          0.000      12733.417        178.270         54.172          0.099          3.985          0.002          0.000       1230.961         47.340        609.110          4.087         0          1.000          1.000          7.330
        91      1972     31/03/1972          0.000          0.000         26.800          0.066              0.245              0.249              0.259              0.268              0.270              0.270              0.270              0.280              0.280         27.292          0.047          7.925        809.301          0.939         99.706              2.130              3.439              5.746             11.453             11.774             11.300             18.088             18.298             17.478          0.017      12731.509        179.535         57.011          0.089          3.573          0.010          0.000       1238.136         40.748        775.610          4.087         0          1.000          1.000         71.014
       121      1972     30/04/1972          0.000          0.000         41.500          0.710              0.240              0.249              0.262              0.270              0.270              0.270              0.270              0.280              0.281         32.143          0.000          6.830        811.119          0.636        100.164              2.363              3.702              6.085             10.936             11.665             11.349             18.151             18.354             17.561          0.026      12724.334        182.885         48.158          0.066          2.667          0.020          0.000       1289.822         36.464       1143.710          4.106         0          1.000          1.000        122.497
       152      1972     31/05/1972          0.000          0.000         45.400          1.421              0.258              0.262              0.271              0.273              0.273              0.273              0.271              0.281              0.281         31.381          0.000          1.886        821.830          0.895         98.215              2.558              5.097              6.943              9.837             10.519             10.287             16.990             18.394             17.591          0.017      12707.386        184.980         33.321          0.031          1.253          0.020        164.695       1379.180         31.935       1727.870          4.681         0          1.000          1.000        163.837
       181      1972     29/06/1972          2.000          2.000         50.300          1.517              0.252              0.257              0.269              0.271              0.272              0.272              0.272              0.282              0.282         36.047          0.489         14.531        819.546          0.967        102.167              3.937              6.968              8.798              9.512             10.146             10.070             16.640             18.341             17.753          0.076      12684.108        183.223         22.162          0.011          0.425          0.002        302.046       1461.538         27.753       2336.390          4.822       179          0.929          1.000        183.183
       182      1972     30/06/1972          0.000          0.000          0.000          0.000              0.247              0.253              0.266              0.270              0.270              0.271              0.271              0.281              0.281          2.015          0.000          2.408        815.124          1.194        102.667              4.452              7.160              8.874              9.504             10.106             10.015             16.581             18.267             17.708          0.003      12682.326        184.095         49.145          2.047         57.633          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         16.022
       213      1972     31/07/1972          0.000          0.000        103.800          0.000              0.249              0.254              0.264              0.270              0.270              0.270              0.270              0.280              0.280         47.077         19.482         39.123        813.242          1.193        109.652              5.742              9.090             12.258             10.188             10.067             10.018             16.578             17.969             17.743          0.168      12658.861        189.640         24.369          0.803         22.605          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        168.144
       244      1972     31/08/1972          0.000          1.000         48.200          0.000              0.254              0.259              0.270              0.273              0.274              0.274              0.272              0.282              0.282         34.662          1.349          3.402        822.030          1.281        121.316              7.066             13.391             16.458             11.221             10.361             10.186             16.725             18.065             17.843          0.056      12631.654        185.634         14.358          0.390         10.968          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        166.189
       264      1972     20/09/1972          0.000          3.000         27.900          0.000              0.237              0.244              0.257              0.267              0.270              0.270              0.270              0.280              0.280         23.520          2.304         17.082        807.025          1.212        123.301              8.828             12.820             17.050             11.800             10.448             10.099             16.622             17.874             17.760          0.061      12622.698        183.631         12.504          0.325          9.162          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         81.940
       274      1972     30/09/1972          0.000          0.000          4.900          0.136              0.234              0.242              0.254              0.264              0.270              0.270              0.270              0.280              0.280          7.946          0.000          0.007        803.835          5.091        141.236             25.929             13.401             17.363             11.694             10.470             10.105             16.629             17.880             17.765          0.000      12617.307        182.413         11.924          0.258          7.257          0.094          0.000         27.215          4.837        139.510          0.159         0          0.182          0.818         38.960
       305      1972     31/10/1972          0.000          0.000         26.700         10.955              0.220              0.232              0.248              0.261              0.268              0.270              0.270              0.280              0.280         22.130          0.000          0.000        797.450          1.488        106.949              5.760              7.118              9.501             11.688             10.444             10.119             16.646             17.896             17.778          0.000      12608.253        180.604         16.587          0.192          5.410          1.298          0.000        848.838         63.600        493.450          3.340         0          1.000          1.000         75.166
       335      1972     30/11/1972          0.000          0.000         29.500          7.570              0.246              0.251              0.258              0.263              0.268              0.270              0.270              0.280              0.280         11.746          0.000          0.000        807.634          1.318         95.287              2.120              4.407              6.652              9.169             10.460             10.127             16.656             17.906             17.789          0.001      12605.231        180.392         29.887          0.161          4.532          0.040          0.000       1535.620         89.983        635.110          4.380         0          0.787          1.000         35.917
       366      1972     31/12/1972          0.000          0.000          2.900          0.034              0.247              0.250              0.255              0.261              0.267              0.270              0.270              0.280              0.280          5.218          0.000          0.000        805.282          1.265         95.499              2.397              4.469              6.651              9.059             10.426             10.129             16.660             17.912             17.795          0.000      12604.688        180.601         43.495          0.139          3.906          0.002          0.000       1538.873         77.162        657.250          4.384         0          1.000          1.000         12.658
        31      1973     31/01/1973          0.000          0.000          8.500          0.000              0.253              0.256              0.260              0.263              0.267              0.270              0.270              0.280              0.280          4.411          0.000          0.000        809.371          1.200         95.678              2.180              4.632              6.821              9.105             10.434             10.130             16.662             17.915             17.799          0.000      12604.060        180.964         54.529          0.115          3.241          0.002          0.000       1538.875         66.057        657.490          4.384         0          1.000          1.000         10.663
        59      1973     28/02/1973          0.000          0.000          0.700          0.005              0.209              0.230              0.248              0.260              0.268              0.270              0.270              0.280              0.280         14.348          0.000          0.000        795.718          1.079         95.861              3.088              4.202              6.596              9.013             10.449             10.131             16.664             17.917             17.801          0.000      12603.562        181.339         62.679          0.112          3.146          0.002          0.000       1539.422         57.428        694.930          4.384         0          1.000          1.000         35.322
        90      1973     31/03/1973          0.000          0.000         19.400          0.174              0.219              0.231              0.246              0.258              0.265              0.270              0.270              0.280              0.280         19.998          0.000          0.000        794.946          0.600         96.662              3.518              4.561              6.750              8.953             10.357             10.133             16.666             17.920             17.805          0.000      12600.194        183.892         61.598          0.101          2.839          0.013          0.000       1551.662         49.520        907.090          4.386         0          1.000          1.000         78.659
       120      1973     30/04/1973          0.000          0.000         42.900          0.860              0.312              0.270              0.257              0.256              0.262              0.269              0.270              0.280              0.280         23.442          0.000          0.000        813.544          0.621         98.359              3.126              6.142              7.443              8.946             10.208             10.089             16.672             17.924             17.809          0.005      12589.644        188.113         47.534          0.056          1.584          0.018          0.000       1608.462         43.927       1334.830          4.406         0          1.000          1.000        124.563
       151      1973     31/05/1973          0.000          0.000         37.100          1.009              0.252              0.256              0.265              0.263              0.266              0.270              0.270              0.280              0.280         39.076          0.000          0.000        810.559          0.850         93.798              3.616              6.166              7.720              8.120              8.893              8.700             14.840             17.929             17.813          0.005      12575.824        189.580         36.828          0.017          0.486          0.018        280.894       1683.840         37.826       1884.490          5.194         0          1.000          1.000        152.359
       174      1973     23/06/1973          2.000          2.000         43.800          0.855              0.247              0.253              0.265              0.270              0.270              0.271              0.271              0.281              0.282         24.845          1.480         12.333        814.846          0.923         96.893              4.102              6.891              9.069              8.516              8.983              8.782             14.871             17.772             17.907          0.066      12560.112        188.726         27.864          0.008          0.223          0.002        330.278       1735.572         33.877       2328.310          5.194       172          0.909          1.000        127.970
       181      1973     30/06/1973          0.000          0.000         15.200          0.000              0.285              0.269              0.263              0.268              0.270              0.270              0.270              0.280              0.280          9.218          0.024          2.053        818.751          1.234        100.151              5.034              8.702              9.801              8.525              8.991              8.762             14.831             17.691             17.813          0.006      12552.861        192.841         48.212          1.986         63.248          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         54.771
       212      1973     31/07/1973          0.000          0.000         43.700          0.000              0.255              0.258              0.263              0.269              0.270              0.270              0.270              0.280              0.280         46.777          0.677          1.278        813.719          1.138        113.287              9.774             13.275             13.198              8.835              9.069              8.787             14.847             17.683             17.821          0.010      12524.604        194.962         23.001          1.045         33.292          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        202.462
       243      1973     31/08/1973          0.000          1.000        224.900          0.000              0.270              0.291              0.291              0.290              0.288              0.286              0.279              0.288              0.287         57.399         76.725         45.876        858.618          1.221        119.051              2.239              9.742             19.000             15.307             11.738             10.012             15.433             17.462             18.117          0.409      12498.328        191.713         14.357          0.252          8.020          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        163.939
       264      1973     21/09/1973          0.000          3.000         56.600          0.000              0.247              0.253              0.265              0.270              0.270              0.270              0.270              0.281              0.281         39.130          1.816         60.344        813.928          1.285        115.590              3.633              7.594             16.754             15.232             12.446             10.436             15.474             16.633             17.386          0.182      12489.245        189.662         12.616          0.108          3.428          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         74.825
       273      1973     30/09/1973          0.000          0.000         28.000          0.000              0.252              0.256              0.268              0.270              0.271              0.271              0.271              0.281              0.281         16.519          2.052          6.238        817.118          7.229        130.732             14.931             10.178             17.128             15.449             12.737             10.654             15.617             16.647             17.391          0.044      12485.290        188.576         12.091          0.077          2.463          0.000          0.000          0.000          0.000        119.620          0.000         0          0.000          0.800         31.180
       304      1973     31/10/1973          0.000          0.000         92.500          2.584              0.241              0.251              0.265              0.270              0.270              0.270              0.270              0.280              0.280         39.240         12.925         42.935        811.936          2.662        112.855              4.105              5.524             11.061             16.297             13.972             11.732             16.422             16.611             17.130          0.226      12480.592        187.381         14.614          0.052          1.657          0.609          0.000        349.229         28.154        402.840          1.596         0          1.000          1.000         55.372
       334      1973     30/11/1973          0.000          0.000          4.900          3.244              0.220              0.231              0.247              0.260              0.268              0.270              0.270              0.280              0.280         16.545          0.000          0.162        796.883          1.990        102.113              2.496              2.920              5.133             15.739             13.910             11.736             16.429             16.616             17.134          0.000      12478.400        186.961         21.001          0.048          1.530          1.159          0.000        773.283         47.661        538.080          2.590         0          0.983          1.000         37.976
       365      1973     31/12/1973          0.000          0.000          0.000          0.173              0.213              0.225              0.240              0.253              0.262              0.269              0.270              0.280              0.280          7.789          0.000          0.000        788.922          1.924        101.878              2.882              2.846              5.361             15.277             13.603             11.712             16.434             16.622             17.141          0.000      12478.127        186.942         28.837          0.048          1.530          0.002          0.000        796.220         41.805        545.280          2.630         0          1.000          1.000         16.552
        31      1974     31/01/1974          0.000          0.000          6.500          0.000              0.235              0.238              0.242              0.251              0.259              0.266              0.270              0.280              0.280          4.137          0.000          0.000        791.284          1.760        102.224              2.887              3.311              5.772             15.062             13.410             11.577             16.436             16.625             17.145          0.000      12477.439        187.017         34.835          0.048          1.530          0.002          0.000        796.224         35.789        545.820          2.630         0          1.000          1.000          9.093
        59      1974     28/02/1974          0.000          0.000          6.900          0.002              0.231              0.236              0.245              0.253              0.259              0.265              0.270              0.280              0.280          6.414          0.000          0.000        791.768          1.564        102.648              2.928              3.548              5.929             15.117             13.389             11.527             16.436             16.626             17.146          0.000      12476.509        187.174         38.834          0.048          1.523          0.002          0.000        796.496         31.114        565.920          2.630         0          1.000          1.000         18.061
        90      1974     31/03/1974          0.000          0.000         25.300          0.058              0.242              0.247              0.254              0.258              0.262              0.267              0.270              0.280              0.280         16.144          0.000          0.000        800.866          1.317        103.209              2.482              3.983              6.252             15.102             13.567             11.608             16.438             16.628             17.148          0.001      12475.178        187.549         41.606          0.044          1.400          0.009          0.000        801.229         26.789        674.520          2.631         0          1.000          1.000         63.536
       120      1974     30/04/1974          0.000          0.000         11.700          1.929              0.228              0.235              0.246              0.255              0.262              0.268              0.270              0.280              0.280         16.966          0.000          0.000        793.671          0.947        105.889              4.129              4.941              6.679             14.784             13.456             11.673             16.443             16.632             17.152          0.000      12464.784        188.617         32.417          0.038          1.201          0.044          0.000        940.171         26.802       1095.720          2.681         0          1.000          1.000        144.855
       151      1974     31/05/1974          0.000          0.000         78.300          2.924              0.248              0.253              0.263              0.270              0.270              0.270              0.270              0.280              0.281         34.030          2.405         19.649        812.963          0.968        103.092              2.909              5.460              8.072             12.418             12.711             11.318             16.331             16.743             17.131          0.092      12450.130        187.537         24.931          0.024          0.756          0.044        153.163       1138.861         24.504       1666.559          3.171         0          1.000          1.000        166.124
       181      1974     30/06/1974          0.000          0.000         42.900          3.535              0.251              0.255              0.262              0.268              0.270              0.270              0.270              0.280              0.280         39.779          0.000          0.593        811.956          1.032        103.149              5.218              7.828              9.209             11.133             11.320             10.191             14.918             16.234             17.097          0.004      12427.666        183.651         17.624          0.007          0.218          0.002        427.191       1338.893         21.083       2278.919          3.933       180          0.933          1.000        195.726
       182      1974     01/07/1974          2.000          2.000              ?              ?              0.251              0.255              0.262              0.268              0.270              0.270              0.270              0.280              0.280              ?              ?              ?        811.956          1.032        103.149              5.218              7.828              9.209             11.133             11.320             10.191             14.918             16.234             17.097              ?      12427.666        183.651         17.624          0.007          0.218          0.002        427.191       1338.893         21.083       2278.919          3.933       180              ?              ?              ?
       212      1974     31/07/1974          0.000          0.000         82.100          0.000              0.305              0.291              0.277              0.274              0.272              0.271              0.271              0.280              0.280         51.285          7.411          2.627        832.732          1.086        115.844              6.513             13.576             13.860             11.700             11.511             10.317             15.012             16.254             17.101          0.038      12398.830        185.323         17.409          0.461         15.527          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        201.914
       243      1974     31/08/1974          0.000          1.000         57.000          0.000              0.244              0.249              0.259              0.268              0.270              0.270              0.270              0.280              0.280         37.769         16.487         26.300        809.176          1.151        122.893              9.847             13.543             16.311             12.418             11.645             10.602             15.416             16.170             16.942          0.138      12374.749        180.118         11.456          0.298         10.023          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        189.859
       264      1974     21/09/1974          0.000          3.000        101.300          0.000              0.252              0.256              0.267              0.270              0.271              0.271              0.271              0.282              0.282         33.119         11.850         48.188        817.318          1.241        120.883              4.145              9.984             17.861             15.012             12.850             11.427             16.396             16.364             16.843          0.299      12365.802        178.443         10.091          0.148          4.997          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         66.782
       273      1974     30/09/1974          0.000          0.000         32.100          0.016              0.325              0.293              0.279              0.275              0.273              0.272              0.271              0.280              0.280          7.924          1.842          2.998        836.638          6.088        137.447             12.592             15.712             19.577             15.550             13.068             11.497             16.405             16.311             16.736          0.057      12361.284        177.285          9.739          0.126          4.248          0.085          0.000         21.687          4.287        132.930          0.127         0          0.200          0.800         33.369
       304      1974     31/10/1974          0.000          0.000         56.400          4.076              0.261              0.264              0.270              0.271              0.271              0.271              0.270              0.280              0.280         32.507          1.522         35.846        819.087          2.195        110.011              2.511              4.211             10.064             16.542             14.066             12.201             17.171             16.569             16.675          0.189      12356.067        176.205         14.219          0.091          3.078          0.890          0.000        527.250         42.213        428.190          2.370         0          1.000          1.000         62.306
       334      1974     30/11/1974          0.000          0.000         30.000          2.991              0.303              0.272              0.270              0.270              0.270              0.270              0.270              0.280              0.280         13.387          0.000          9.045        823.663          1.768        101.767              1.244              2.718              4.966             15.616             14.212             12.358             17.353             16.638             16.663          0.022      12354.278        176.043         23.701          0.082          2.772          1.543          0.000        963.810         61.266        553.170          3.039         0          0.854          1.000         29.240
       365      1974     31/12/1974          0.000          0.000         13.600          0.006              0.279              0.273              0.271              0.271              0.270              0.270              0.270              0.280              0.280          1.513          0.000         13.488        822.255          1.586        100.387              1.008              2.573              4.750             13.957             14.290             12.660             17.694             16.784             16.671          0.026      12353.247        176.286         33.222          0.056          1.882          0.002          0.000        966.991         52.596        554.310          3.052         0          0.982          1.000          3.079
        31      1975     31/01/1975          0.000          0.000          2.200          0.000              0.259              0.263              0.269              0.270              0.270              0.270              0.270              0.280              0.280          4.952          0.000          2.157        817.346          1.531        100.247              1.146              2.488              4.710             13.736             14.259             12.688             17.741             16.806             16.673          0.003      12352.906        176.419         41.884          0.046          1.561          0.002          0.000        966.990         45.027        554.310          3.052         0          1.000          1.000          9.387
        59      1975     28/02/1975          0.000          0.000          5.100          0.004              0.240              0.245              0.258              0.268              0.270              0.270              0.270              0.280              0.280         14.844          0.000          0.000        807.598          1.449        100.395              1.606              2.388              4.604             13.622             14.261             12.689             17.742             16.808             16.676          0.000      12352.589        176.584         48.355          0.043          1.449          0.003          0.000        967.413         39.151        584.490          3.052         0          1.000          1.000         28.148
        90      1975     31/03/1975          0.000          0.000         20.500          0.065              0.244              0.249              0.257              0.263              0.269              0.270              0.270              0.280              0.280         21.232          0.000          0.000        806.801          1.123        100.971              1.859              2.728              4.845             13.382             14.236             12.690             17.744             16.810             16.678          0.000      12351.030        177.443         51.414          0.039          1.329          0.016          0.000        975.918         33.792        722.130          3.055         0          1.000          1.000         68.010
       120      1975     30/04/1975          0.000          0.000         47.900          1.203              0.283              0.271              0.269              0.270              0.270              0.270              0.270              0.280              0.280         26.869          0.159          5.210        821.260          0.773        101.272              1.570              3.291              5.375             12.749             14.047             12.785             17.883             16.878             16.694          0.018      12346.013        179.570         46.664          0.032          1.087          0.072          0.000       1102.229         32.639       1028.130          3.093         0          1.000          1.000         99.903
       151      1975     31/05/1975          0.000          0.000         43.300          3.911              0.241              0.248              0.259              0.267              0.270              0.270              0.270              0.280              0.280         46.087          0.000          6.194        808.368          0.809        100.119              2.605              3.672              5.559             11.453             12.981             12.165             18.037             16.950             16.697          0.015      12335.831        181.591         37.023          0.015          0.502          0.072          0.000       1403.421         32.179       1509.870          3.377         0          1.000          1.000        150.006
       181      1975     30/06/1975          0.000          0.000         42.600          5.668              0.245              0.250              0.261              0.267              0.270              0.270              0.270              0.280              0.280         35.605          0.052          0.000        809.643          0.907         93.716              3.910              5.595              6.683              9.536             10.376              9.833             14.936             16.145             16.704          0.007      12314.519        180.750         23.944          0.005          0.171          0.072        549.637       1730.878         27.709       2200.590          4.667         0          1.000          1.000        180.115
       189      1975     08/07/1975          2.000          2.000         12.300          0.605              0.250              0.254              0.263              0.267              0.270              0.270              0.270              0.280              0.280          9.633          0.000          0.000        811.705          0.941         94.980              4.232              6.399              7.164              9.510             10.318              9.772             14.850             16.032             16.705          0.000      12309.136        180.048         21.913          0.003          0.113          0.002        565.941       1760.190         26.753       2298.870          4.721       187          0.714          1.000         29.385
       212      1975     31/07/1975          0.000          0.000        200.600          0.000              0.263              0.266              0.274              0.277              0.279              0.280              0.277              0.287              0.287         55.299         73.526         46.123        837.357          1.143         97.585              2.592              6.163              9.824              9.619             10.161             10.258             15.758             16.328             16.880          0.231      12291.131        187.619         26.923          0.457         17.168          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        141.839
