APSIM output file, version = 5.4
Title = Pasture PI SAMPLE Simulation
           Date           rain          rtdep         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)          rwu()       sw_dep()             es          no3()          nh4()          fom()            rwu      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)            fom      cover_tot  residue_cover
             ()           (mm)           (mm)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)            (?)           (mm)           (mm)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)      (m^2/m^2)      (m^2/m^2)
     05/11/1988          0.000        100.000     175348.594          0.000          0.000          0.000          0.000          0.000          0.000              ?        622.528          0.218         96.474          1.139              ?              ?         30.385         41.746         88.098        108.732        114.417        118.219        120.930         18.644         17.825         23.081         12.905          7.274          9.077          7.667          0.345          0.206          0.288          0.235          0.039          0.009          0.017              ?          0.238          0.158
     06/11/1988          0.600        100.000     171911.875          0.000          0.000          0.000          0.000          0.000          0.000              ?        622.313          0.815         96.663          1.127              ?              ?         30.256         41.682         88.423        108.638        114.331        118.135        120.847         18.681         17.850         23.179         12.930          7.286          9.072          7.664          0.345          0.198          0.289          0.230          0.040          0.009          0.016              ?          0.236          0.159
     07/11/1988          4.000        100.000     169562.109          0.000          0.000          0.000          0.000          0.000          0.000              ?        623.174          3.138         96.845          1.105              ?              ?         31.195         41.631         88.743        108.545        114.244        118.051        120.765         18.714         17.878         23.275         12.953          7.296          9.068          7.662          0.345          0.188          0.284          0.224          0.041          0.009          0.015              ?          0.234          0.160
     08/11/1988          0.000        100.000     167276.875          0.000          0.000          0.000          0.000          0.000          0.000              ?        622.101          1.073         97.018          1.076              ?              ?         30.206         41.576         89.056        108.453        114.159        117.968        120.683         18.750         17.899         23.368         12.975          7.305          9.062          7.659          0.345          0.176          0.277          0.215          0.041          0.009          0.014              ?          0.233          0.160
     09/11/1988          0.000        100.000     164978.094          0.000          0.000          0.000          0.000          0.000          0.000              ?        621.892          0.209         97.183          1.048              ?              ?         30.081         41.524         89.363        108.361        114.074        117.886        120.603         18.786         17.918         23.458         12.994          7.313          9.057          7.656          0.345          0.164          0.269          0.206          0.042          0.009          0.013              ?          0.232          0.161
     10/11/1988          0.000        100.000     162507.953          0.000          0.000          0.000          0.000          0.000          0.000              ?        621.687          0.206         97.342          1.021              ?              ?         29.960         41.475         89.662        108.271        113.990        117.805        120.523         18.822         17.935         23.546         13.012          7.321          9.052          7.653          0.345          0.154          0.261          0.197          0.043          0.008          0.012              ?          0.230          0.162
     11/11/1988          0.000        100.000     159786.141          0.000          0.000          0.000          0.000          0.000          0.000              ?        621.483          0.203         97.499          1.011              ?              ?         29.841         41.430         89.956        108.182        113.907        117.724        120.444         18.859         17.951         23.632         13.030          7.330          9.047          7.650          0.345          0.149          0.261          0.193          0.043          0.008          0.012              ?          0.229          0.163
     12/11/1988          0.000        100.000     157086.250          0.000          0.000          0.000          0.000          0.000          0.000              ?        621.283          0.200         97.658          1.012              ?              ?         29.724         41.387         90.242        108.094        113.825        117.645        120.366         18.895         17.968         23.717         13.047          7.341          9.042          7.647          0.345          0.147          0.265          0.192          0.043          0.008          0.011              ?          0.227          0.164
     13/11/1988          0.000        100.000     154511.641          0.000          0.000          0.000          0.000          0.000          0.000              ?        621.085          0.198         97.819          1.017              ?              ?         29.611         41.348         90.522        108.007        113.743        117.566        120.288         18.932         17.985         23.803         13.065          7.352          9.038          7.644          0.345          0.147          0.271          0.193          0.043          0.008          0.011              ?          0.225          0.165
     14/11/1988          0.000        100.000     152168.594          0.000          0.000          0.000          0.000          0.000          0.000              ?        620.889          0.196         97.982          1.024              ?              ?         29.500         41.312         90.794        107.923        113.663        117.487        120.212         18.969         18.003         23.889         13.083          7.363          9.033          7.641          0.345          0.147          0.277          0.193          0.043          0.008          0.011              ?          0.224          0.166
