Summary_file = csu-S09.sum
Title = south plots
      year     month       day day_month              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          no3ppm(7)          no3ppm(8)          no3ppm(9)         no3ppm(10)         no3ppm(11)         no3ppm(12)         no3ppm(13)         no3ppm(14)         no3ppm(15)         no3ppm(16)         no3ppm(17)         no3ppm(18)         no3ppm(19)         no3ppm(20)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)          nh4ppm(7)          nh4ppm(8)          nh4ppm(9)         nh4ppm(10)         nh4ppm(11)         nh4ppm(12)         nh4ppm(13)         nh4ppm(14)         nh4ppm(15)         nh4ppm(16)         nh4ppm(17)         nh4ppm(18)         nh4ppm(19)         nh4ppm(20)
    (year)   (month)     (day)     (day)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)
      1995         6       159         8              0.113              0.163              0.219              0.165              0.166              0.187              0.199              0.236              0.276              0.301              0.302              0.328              0.331              0.320              0.334              0.322              0.329              0.335              0.336              0.336             10.192              9.521             10.060              3.248              2.055              2.126              1.608              0.628              0.257              0.172              0.142              0.198              0.622              0.552              0.595              0.502              0.522              0.548              0.543              0.542              1.174              0.614              0.973              0.060              0.050              0.050              0.039              0.008              0.004              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995         6       181        30              0.165              0.225              0.235              0.249              0.215              0.187              0.199              0.236              0.277              0.302              0.302              0.327              0.330              0.319              0.333              0.321              0.328              0.335              0.335              0.335             10.381              6.705              8.046              7.156              3.715              2.314              1.739              0.671              0.280              0.186              0.149              0.212              0.612              0.552              0.597              0.503              0.524              0.550              0.544              0.544              1.179              0.953              0.748              0.217              0.171              0.048              0.037              0.008              0.004              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995         8       214         2              0.051              0.121              0.212              0.217              0.212              0.187              0.199              0.236              0.278              0.303              0.302              0.326              0.329              0.318              0.332              0.320              0.327              0.334              0.334              0.334             15.547              6.406              4.949              3.401              2.589              2.215              1.902              0.732              0.311              0.205              0.159              0.233              0.599              0.551              0.600              0.506              0.527              0.553              0.548              0.547              1.514              0.318              0.621              0.179              0.151              0.045              0.034              0.008              0.004              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995         9       249         6              0.218              0.227              0.218              0.189              0.188              0.183              0.198              0.236              0.279              0.304              0.301              0.326              0.328              0.317              0.331              0.319              0.326              0.333              0.333              0.333              1.726              1.610              0.680              0.263              0.215              0.415              0.369              0.359              0.349              0.227              0.171              0.252              0.588              0.551              0.603              0.510              0.530              0.557              0.551              0.550              1.202              0.829              0.814              0.097              0.065              0.027              0.025              0.007              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995        10       283        10              0.153              0.161              0.193              0.173              0.171              0.178              0.195              0.233              0.280              0.304              0.301              0.325              0.327              0.316              0.330              0.318              0.325              0.332              0.332              0.332              2.562              2.584              1.480              0.405              0.295              0.356              0.300              0.113              0.344              0.247              0.181              0.269              0.579              0.551              0.607              0.513              0.534              0.560              0.555              0.554              0.923              0.776              1.106              0.036              0.020              0.019              0.018              0.005              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995        11       326        22              0.335              0.340              0.280              0.282              0.280              0.315              0.316              0.326              0.327              0.307              0.301              0.325              0.327              0.315              0.330              0.318              0.325              0.331              0.332              0.332              0.168              0.353              0.759              1.851              2.478              3.129              2.136              0.886              0.477              0.277              0.197              0.290              0.570              0.551              0.611              0.517              0.538              0.565              0.559              0.558              0.599              0.871              0.940              0.379              0.136              0.065              0.040              0.008              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1996         1        22        22              0.332              0.337              0.278              0.282              0.281              0.316              0.315              0.323              0.325              0.330              0.322              0.345              0.346              0.335              0.347              0.336              0.342              0.347              0.348              0.348              0.626              1.647              1.913              1.824              1.776              2.615              3.592              3.747              2.897              1.948              1.129              0.760              0.535              0.462              0.570              0.524              0.560              0.589              0.581              0.578              0.796              1.163              1.463              0.425              0.183              0.092              0.053              0.008              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1996         3        65         5              0.168              0.189              0.196              0.204              0.187              0.211              0.219              0.237              0.273              0.291              0.296              0.333              0.337              0.327              0.340              0.329              0.336              0.342              0.342              0.342              3.206              3.281              3.003              1.863              1.201              1.121              1.121              0.985              1.168              1.008              0.827              2.079              1.549              0.965              0.797              0.559              0.530              0.542              0.535              0.534              1.076              1.100              1.192              0.164              0.067              0.049              0.027              0.004              0.001              0.001              0.000              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000
      1996         4        93         2              0.051              0.092              0.163              0.166              0.165              0.191              0.203              0.227              0.267              0.278              0.273              0.321              0.332              0.322              0.336              0.325              0.332              0.339              0.339              0.339              5.972              3.023              2.937              1.572              1.073              1.036              0.967              0.774              0.917              0.662              0.529              1.791              1.528              0.956              0.790              0.551              0.519              0.528              0.520              0.518              1.224              0.615              0.916              0.041              0.024              0.024              0.012              0.001              0.000              0.000              0.000              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1996         5       135        14              0.310              0.314              0.267              0.250              0.252              0.284              0.292              0.310              0.318              0.314              0.269              0.307              0.325              0.318              0.333              0.322              0.329              0.336              0.336              0.336              1.907              2.496              1.183              1.213              1.564              2.243              2.037              1.421              1.047              0.724              0.533              1.497              1.488              0.954              0.796              0.554              0.518              0.523              0.512              0.511              1.199              1.049              0.707              0.059              0.023              0.018              0.013              0.000              0.000              0.000              0.000              0.000              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
