Summary_file = csu-N09.sum
Title = south plots
      year     month       day day_month              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          no3ppm(7)          no3ppm(8)          no3ppm(9)         no3ppm(10)         no3ppm(11)         no3ppm(12)         no3ppm(13)         no3ppm(14)         no3ppm(15)         no3ppm(16)         no3ppm(17)         no3ppm(18)         no3ppm(19)         no3ppm(20)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)          nh4ppm(7)          nh4ppm(8)          nh4ppm(9)         nh4ppm(10)         nh4ppm(11)         nh4ppm(12)         nh4ppm(13)         nh4ppm(14)         nh4ppm(15)         nh4ppm(16)         nh4ppm(17)         nh4ppm(18)         nh4ppm(19)         nh4ppm(20)
    (year)   (month)     (day)     (day)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)
      1995         6       159         8              0.068              0.158              0.217              0.176              0.176              0.194              0.205              0.238              0.278              0.302              0.303              0.328              0.331              0.320              0.334              0.323              0.330              0.336              0.337              0.337             15.340             13.874             14.487              6.674              5.284              5.707              4.425              2.193              1.496              1.352              1.018              0.909              0.757              0.573              0.591              0.495              0.520              0.549              0.544              0.544              2.656              1.010              1.085              0.045              0.035              0.041              0.031              0.007              0.003              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995         6       181        30              0.108              0.215              0.235              0.250              0.225              0.194              0.205              0.238              0.278              0.303              0.303              0.327              0.330              0.319              0.333              0.322              0.329              0.335              0.336              0.336             16.117              9.780             11.724             11.337              7.710              5.844              4.527              2.250              1.525              1.365              1.022              0.912              0.759              0.575              0.593              0.497              0.521              0.549              0.544              0.543              1.900              1.362              0.827              0.150              0.103              0.040              0.029              0.007              0.003              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995         8       214         2              0.051              0.119              0.215              0.221              0.216              0.195              0.205              0.238              0.280              0.304              0.302              0.327              0.329              0.318              0.332              0.321              0.327              0.334              0.334              0.335             22.913              9.721              9.466              7.360              5.940              5.461              4.401              2.330              1.568              1.379              1.027              0.917              0.763              0.578              0.597              0.500              0.523              0.552              0.546              0.546              2.346              0.415              0.621              0.125              0.098              0.038              0.027              0.007              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995         9       249         6              0.168              0.215              0.219              0.195              0.195              0.191              0.203              0.238              0.281              0.305              0.302              0.326              0.328              0.317              0.331              0.319              0.326              0.333              0.333              0.334             11.454             10.378              7.941              3.819              3.149              3.855              3.358              2.242              1.618              1.395              1.034              0.924              0.768              0.583              0.602              0.504              0.527              0.555              0.550              0.549              1.606              1.125              0.907              0.086              0.055              0.024              0.019              0.006              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995        10       283        10              0.103              0.166              0.202              0.187              0.185              0.185              0.200              0.235              0.281              0.305              0.302              0.326              0.328              0.316              0.331              0.319              0.326              0.332              0.333              0.333              7.453              9.979             10.021              4.346              3.302              3.731              3.335              2.188              1.655              1.409              1.041              0.931              0.773              0.587              0.607              0.507              0.530              0.558              0.553              0.552              1.097              0.837              1.117              0.060              0.032              0.016              0.014              0.005              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995        11       326        22              0.334              0.339              0.279              0.282              0.280              0.316              0.318              0.329              0.330              0.331              0.302              0.325              0.327              0.316              0.330              0.318              0.325              0.332              0.332              0.332              0.211              0.465              1.293              3.929              6.156              9.255              8.237              5.182              2.601              1.625              1.053              0.941              0.781              0.593              0.613              0.512              0.534              0.563              0.557              0.557              0.640              0.821              0.939              0.427              0.169              0.067              0.030              0.008              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1996         1        22        22              0.329              0.334              0.276              0.281              0.280              0.316              0.316              0.325              0.326              0.330              0.322              0.344              0.345              0.334              0.346              0.336              0.341              0.347              0.347              0.348              0.696              1.529              1.686              1.640              1.720              2.961              4.986              6.720              6.327              5.057              3.413              2.612              1.636              0.980              0.840              0.618              0.592              0.596              0.581              0.577              0.855              1.069              1.272              0.346              0.134              0.064              0.036              0.008              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000
      1996         3        65         5              0.164              0.191              0.208              0.205              0.189              0.208              0.216              0.235              0.271              0.284              0.283              0.331              0.336              0.326              0.340              0.329              0.335              0.342              0.342              0.342              3.993              3.773              4.111              2.241              1.144              1.193              1.332              1.658              2.391              2.989              3.190              4.648              3.798              2.509              2.046              1.276              0.990              0.811              0.691              0.662              1.102              0.966              1.168              0.121              0.043              0.030              0.016              0.003              0.000              0.000              0.000              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000
      1996         4        93         2              0.051              0.089              0.169              0.174              0.169              0.190              0.202              0.227              0.266              0.277              0.273              0.323              0.331              0.322              0.336              0.325              0.332              0.338              0.339              0.339              7.119              3.517              5.652              2.593              1.317              1.386              1.432              1.654              2.356              2.927              3.180              4.529              3.742              2.474              2.019              1.258              0.977              0.801              0.679              0.655              1.056              0.441              0.419              0.030              0.012              0.014              0.007              0.001              0.000              0.000              0.000              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1996         5       135        14              0.303              0.307              0.264              0.254              0.254              0.286              0.294              0.312              0.319              0.321              0.275              0.317              0.327              0.318              0.333              0.322              0.329              0.336              0.336              0.336              2.583              2.756              1.421              1.762              2.341              3.375              3.079              2.557              2.594              3.228              3.212              4.428              3.688              2.455              2.021              1.262              0.979              0.801              0.678              0.657              1.392              1.057              0.850              0.077              0.017              0.017              0.012              0.000              0.000              0.000              0.000              0.000              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
